ID,Names,ALT0,ALT1,ALT2,ALT3,ALT4,ALT5,ALT6,ALT7
Pin,PTE0,LCD_P48,GPIOE_0,SPI1_MISO,UART1_TX,RTC_CLKOUT,CMP0_OUT,I2C1_SDA,LCD_P48
Pin,PTE1,LCD_P49,GPIOE_1,SPI1_MOSI,UART1_RX,,SPI1_MISO,I2C1_SCL,LCD_P49
Pin,PTE2,LCD_P50,GPIOE_2,SPI1_SCK,,,,,LCD_P50
Pin,PTE3,LCD_P51,GPIOE_3,SPI1_MISO,,,SPI1_MOSI,,LCD_P51
Pin,PTE4,LCD_P52,GPIOE_4,SPI1_PCS0,,,,,LCD_P52
Pin,PTE5,LCD_P53,GPIOE_5,,,,,,LCD_P53
Pin,PTE6,LCD_P54,GPIOE_6,,,I2S0_MCLK,USB_SOF_OUT,,LCD_P54
,VDD,VDD,,,,,,,
,VSS,VSS,,,,,,,
,VSS,VSS,,,,,,,
,USB0_DP,USB0_DP,,,,,,,
,USB0_DM,USB0_DM,,,,,,,
,VOUT33,VOUT33,,,,,,,
,VREGIN,VREGIN,,,,,,,
Pin,PTE16,LCD_P55/ADC0_DP1/ADC0_SE1,GPIOE_16,SPI0_PCS0,UART2_TX,TPM_CLKIN0,,,LCD_P55
Pin,PTE17,LCD_P56/ADC0_DM1/ADC0_SE5a,GPIOE_17,SPI0_SCK,UART2_RX,TPM_CLKIN1,,LPTMR0_ALT3,LCD_P56
Pin,PTE18,LCD_P57/ADC0_DP2/ADC0_SE2,GPIOE_18,SPI0_MOSI,,I2C0_SDA,SPI0_MISO,,LCD_P57
Pin,PTE19,LCD_P58/ADC0_DM2/ADC0_SE6a,GPIOE_19,SPI0_MISO,,I2C0_SCL,SPI0_MOSI,,LCD_P58
Pin,PTE20,LCD_P59/ADC0_DP0/ADC0_SE0,GPIOE_20,,TPM1_CH0,UART0_TX,,,LCD_P59
Pin,PTE21,LCD_P60/ADC0_DM0/ADC0_SE4a,GPIOE_21,,TPM1_CH1,UART0_RX,,,LCD_P60
Pin,PTE22,ADC0_DP3/ADC0_SE3,GPIOE_22,,TPM2_CH0,UART2_TX,,,
Pin,PTE23,ADC0_DM3/ADC0_SE7a,GPIOE_23,,TPM2_CH1,UART2_RX,,,
,VDDA,VDDA,,,,,,,
,VREFH,VREFH,,,,,,,
,VREFL,VREFL,,,,,,,
,VSSA,VSSA,,,,,,,
Pin,PTE29,CMP0_IN5/ADC0_SE4b,GPIOE_29,,TPM0_CH2,TPM_CLKIN0,,,
Pin,PTE30,DAC0_OUT/ADC0_SE23/CMP0_IN4,GPIOE_30,,TPM0_CH3,TPM_CLKIN1,,,
Pin,PTE31,,GPIOE_31,,TPM0_CH4,,,,
,VSS,VSS,,,,,,,
,VDD,VDD,,,,,,,
Pin,PTE24,,GPIOE_24,,TPM0_CH0,,I2C0_SCL,,
Pin,PTE25,,GPIOE_25,,TPM0_CH1,,I2C0_SDA,,
Pin,PTE26,,GPIOE_26,,TPM0_CH5,,,RTC_CLKOUT,USB_CLKIN
Pin,PTA0,TSI0_CH1,GPIOA_0,,TPM0_CH5,,,,SWD_CLK
Pin,PTA1,TSI0_CH2,GPIOA_1,UART0_RX,TPM2_CH0,,,,
Pin,PTA2,TSI0_CH3,GPIOA_2,UART0_TX,TPM2_CH1,,,,
Pin,PTA3,TSI0_CH4,GPIOA_3,I2C1_SCL,TPM0_CH0,,,,SWD_DIO
Pin,PTA4,TSI0_CH5,GPIOA_4,I2C1_SDA,TPM0_CH1,,,,NMI_b
Pin,PTA5,,GPIOA_5,USB_CLKIN,TPM0_CH2,,,I2S0_TX_BCLK,
,VDD,VDD,,,,,,,
,VSS,VSS,,,,,,,
Pin,PTA6,,GPIOA_6,,TPM0_CH3,,,,
Pin,PTA7,,GPIOA_7,,TPM0_CH4,,,,
Pin,PTA12,,GPIOA_12,,TPM1_CH0,,,I2S0_TXD0,
Pin,PTA13,,GPIOA_13,,TPM1_CH1,,,I2S0_TX_FS,
Pin,PTA14,,GPIOA_14,SPI0_PCS0,UART0_TX,,,I2S0_RX_BCLK,I2S0_TXD0
Pin,PTA15,,GPIOA_15,SPI0_SCK,UART0_RX,,,I2S0_RXD0,
Pin,PTA16,,GPIOA_16,SPI0_MOSI,,,SPI0_MISO,I2S0_RX_FS,I2S0_RXD0
Pin,PTA17,,GPIOA_17,SPI0_MISO,,,SPI0_MOSI,I2S0_MCLK,
,VDD,VDD,,,,,,,
,VSS,VSS,,,,,,,
Pin,PTA18,EXTAL0,GPIOA_18,,UART1_RX,TPM_CLKIN0,,,
Pin,PTA19,XTAL0,GPIOA_19,,UART1_TX,TPM_CLKIN1,,LPTMR0_ALT1,
Pin,PTA20,,GPIOA_20,,,,,,RESET_b
