ID,Names,Aliases,Reset,Default,ALT0,ALT1,ALT2,ALT3,ALT4,ALT5,ALT6,ALT7,EzPort
Pin,ADC0_DM0,,ADC0_DM0,,,,,,,,,,
Pin,ADC0_DM3,,ADC0_DM3,,,,,,,,,,
Pin,ADC0_DP0,,ADC0_DP0,,,,,,,,,,
Pin,ADC0_DP3,,ADC0_DP3,,,,,,,,,,
Pin,ADC0_SE23,,ADC0_SE23/CMP1_IN3,,,,,,,,,,
Pin,PTA0,,JTAG_TCLK/SWD_CLK,,TSI0_CH1,GPIOA_0,UART0_CTS_b/UART0_COL_b,FTM0_CH5,,,,JTAG_TCLK/SWD_CLK,EZP_CLK
Pin,PTA1,D5,JTAG_TDI,GPIOA_1,TSI0_CH2,GPIOA_1,UART0_RX,FTM0_CH6,,,,JTAG_TDI,EZP_DI
Pin,PTA2,D9/LED_BLUE,JTAG_TDO/TRACE_SWO,GPIOA_2,TSI0_CH3,GPIOA_2,UART0_TX,FTM0_CH7,,,,JTAG_TDO/TRACE_SWO,EZP_DO
Pin,PTA3,,JTAG_TMS/SWD_DIO,,TSI0_CH4,GPIOA_3,UART0_RTS_b,FTM0_CH0,,,,JTAG_TMS/SWD_DIO,
Pin,PTA4,D21,NMI_b,,TSI0_CH5,GPIOA_4/LLWU_P3,,FTM0_CH1,,,,NMI_b,EZP_CS_b
Pin,PTA5,D2,,GPIOA_5,,GPIOA_5,USB_CLKIN,FTM0_CH2,,,I2S0_TX_BCLK,JTAG_TRST_b,
Pin,PTA12,D8,,GPIOA_12,Disabled,GPIOA_12,,FTM1_CH0,,,I2S0_TXD0,FTM1_QD_PHA,
Pin,PTA13,D24,,GPIOA_13/LLWU_P4,Disabled,GPIOA_13/LLWU_P4,,FTM1_CH1,,,I2S0_TX_FS,FTM1_QD_PHB,
Pin,PTA18,,EXTAL0,,EXTAL0,GPIOA_18,,FTM0_FLT2,FTM0_CLKIN0/FTM1_CLKIN0,,,,
Pin,PTA19,,XTAL0,,XTAL0,GPIOA_19,,FTM1_FLT0,FTM0_CLKIN1/FTM1_CLKIN1,,LPTMR0_ALT1,,
Pin,PTB0,A5/ACC_SCL,ADC0_SE8/TSI0_CH0,I2C0_SCL,ADC0_SE8/TSI0_CH0,GPIOB_0/LLWU_P5,I2C0_SCL,FTM1_CH0,,,FTM1_QD_PHA,,
Pin,PTB1,A4/ACC_SDA,ADC0_SE9/TSI0_CH6,I2C0_SDA,ADC0_SE9/TSI0_CH6,GPIOB_1,I2C0_SDA,FTM1_CH1,,,FTM1_QD_PHB,,
Pin,PTB2,D15,ADC0_SE12/TSI0_CH7,GPIOB_2,ADC0_SE12/TSI0_CH7,GPIOB_2,I2C0_SCL,UART0_RTS_b,,,FTM0_FLT3,,
Pin,PTB3,D14,ADC0_SE13/TSI0_CH8,GPIOB_3,ADC0_SE13/TSI0_CH8,GPIOB_3,I2C0_SDA,UART0_CTS_b/UART0_COL_b,,,FTM0_FLT0,,
Pin,PTB16,,GPIOB_16,UART0_RX,TSI0_CH9,GPIOB_16,,UART0_RX,,,EWM_IN,,
Pin,PTB17,,GPIOB_17,UART0_TX,TSI0_CH10,GPIOB_17,,UART0_TX,,,EWM_OUT_b,,
Pin,PTB18,,GPIOB_18,GPIOB_18,TSI0_CH11,GPIOB_18,,,I2S0_TX_BCLK,,,,
Pin,PTB19,,GPIOB_19,GPIOB_19,TSI0_CH12,GPIOB_19,,,I2S0_TX_FS,,,,
Pin,PTC0,A0,ADC0_SE14/TSI0_CH13,ADC0_SE14/TSI0_CH13,ADC0_SE14/TSI0_CH13,GPIOC_0,SPI0_PCS4,PDB0_EXTRG,,,,,
Pin,PTC1,A1,ADC0_SE15/TSI0_CH14,ADC0_SE15/TSI0_CH14,ADC0_SE15/TSI0_CH14,GPIOC_1/LLWU_P6,SPI0_PCS3,UART1_RTS_b,FTM0_CH0,,I2S0_TXD0,,
Pin,PTC2,D10,ADC0_SE4b/CMP1_IN0/TSI0_CH15,GPIOC_2,ADC0_SE4b/CMP1_IN0/TSI0_CH15,GPIOC_2,SPI0_PCS2,UART1_CTS_b,FTM0_CH1,,I2S0_TX_FS,,
Pin,PTC3,D6/LED_RED,CMP1_IN1,GPIOC_3/LLWU_P7,CMP1_IN1,GPIOC_3/LLWU_P7,SPI0_PCS1,UART1_RX,FTM0_CH2,,I2S0_TX_BCLK,,
Pin,PTC4,D7,,GPIOC_4/LLWU_P8,,GPIOC_4/LLWU_P8,SPI0_PCS0,UART1_TX,FTM0_CH3,,CMP1_OUT,,
Pin,PTC5,D18,,GPIOC_5/LLWU_P9,,GPIOC_5/LLWU_P9,SPI0_SCK,LPTMR0_ALT2,I2S0_RXD0,,CMP0_OUT,,
Pin,PTC6,D19/ACC_INT2,CMP0_IN0,GPIOC_6/LLWU_P10,CMP0_IN0,GPIOC_6/LLWU_P10,SPI0_SOUT,PDB0_EXTRG,I2S0_RX_BCLK,,I2S0_MCLK,,
Pin,PTC7,D20,CMP0_IN1,GPIOC_7,CMP0_IN1,GPIOC_7,SPI0_SIN,USB_SOF_OUT,I2S0_RX_FS,,,,
Pin,PTC8,D4,CMP0_IN2,GPIOC_8,CMP0_IN2,GPIOC_8,,,I2S0_MCLK,,,,
Pin,PTC9,D23,CMP0_IN3,GPIOC_9,CMP0_IN3,GPIOC_9,,,I2S0_RX_BCLK,,,,
