ID,Names,Aliases,Reset,Default,ALT0,ALT1,ALT2,ALT3,ALT4,ALT5,ALT6,ALT7,EzPort
Pin,ADC0_DM0,,ADC0_DM0/ADC1_DM3/ADC0_SE19,,,,,,,,,,
Pin,ADC0_DM1,,ADC0_DM1/ADC0_SE20,,,,,,,,,,
Pin,ADC0_DP0,,ADC0_DP0/ADC1_DP3/ADC0_SE0,,,,,,,,,,
Pin,ADC0_DP1,,ADC0_DP1/ADC0_SE1,,,,,,,,,,
Pin,ADC0_SE23,,DAC0_OUT/CMP1_IN3/ADC0_SE23,,,,,,,,,,
Pin,ADC1_DM0,,ADC1_DM0/ADC0_DM3/ADC1_SE19,,,,,,,,,,
Pin,ADC1_DM1,,ADC1_DM1/ADC0_DM2/ADC1_SE20,,,,,,,,,,
Pin,ADC1_DP0,,ADC1_DP0/ADC0_DP3/ADC1_SE0/ADC0_SE3,,,,,,,,,,
Pin,ADC1_DP1,,ADC1_DP1/ADC0_DP2/ADC1_SE1/ADC0_SE2,,,,,,,,,,
Pin,ADC1_SE18,,VREF_OUT/CMP1_IN5/CMP0_IN5/ADC1_SE18,,,,,,,,,,
Pin,ADC1_SE23,,CMP0_IN4/ADC1_SE23,,,,,,,,,,
Pin,PTA0,,JTAG_TCLK/SWD_CLK,,,GPIOA_0,UART0_CTS_b,FTM0_CH5,,,,JTAG_TCLK/SWD_CLK,EZP_CLK
Pin,PTA1,D9/LED_RED,JTAG_TDI,FTM0_CH6,,GPIOA_1,UART0_RX,FTM0_CH6,,,,JTAG_TDI,EZP_DI
Pin,PTA2,D3/LED_GREEN,JTAG_TDO/TRACE_SWO,FTM0_CH7,,GPIOA_2,UART0_TX,FTM0_CH7,,,,JTAG_TDO/TRACE_SWO,EZP_DO
Pin,PTA3,D4,JTAG_TMS/SWD_DIO,GPIOA_3,,GPIOA_3,UART0_RTS_b,FTM0_CH0,,,,JTAG_TMS/SWD_DIO,
Pin,PTA4,,NMI_b,FTM0_CH1,,GPIOA_4/LLWU_P3,,FTM0_CH1,,,,NMI_b,EZP_CS_b
Pin,PTA5,,JTAG_TRST_b,,,GPIOA_5,USB_CLKIN,FTM0_CH2,,,I2S0_TX_BCLK,JTAG_TRST_b,
Pin,PTA12,,Disabled,,,GPIOA_12,,FTM1_CH0,,,I2S0_TXD0,FTM1_QD_PHA,
Pin,PTA13,,Disabled,,,GPIOA_13/LLWU_P4,,FTM1_CH1,,,I2S0_TX_FS,FTM1_QD_PHB,
Pin,PTA14,,Disabled,,,GPIOA_14,SPI0_PCS0,UART0_TX,,,I2S0_RX_BCLK,,
