ID,Names,ALT0,ALT1,ALT2,ALT3,ALT4,ALT5,ALT6,ALT7,EzPort
Pin,ADC0_DM0,ADC0_DM0,,,,,,,,
Pin,ADC0_DM3,ADC0_DM3,,,,,,,,
Pin,ADC0_DP0,ADC0_DP0,,,,,,,,
Pin,ADC0_DP3,ADC0_DP3,,,,,,,,
Pin,ADC0_SE23,CMP1_IN3/ADC0_SE23,,,,,,,,
Pin,PTA0,TSI0_CH1,PTA0,UART0_CTS_b/UART0_COL_b,FTM0_CH5,,,,JTAG_TCLK/SWD_CLK,EZP_CLK
Pin,PTA1,TSI0_CH2,PTA1,UART0_RX,FTM0_CH6,,,,JTAG_TDI,EZP_DI
Pin,PTA2,TSI0_CH3,PTA2,UART0_TX,FTM0_CH7,,,,JTAG_TDO/TRACE_SWO,EZP_DO
Pin,PTA3,TSI0_CH4,PTA3,UART0_RTS_b,FTM0_CH0,,,,JTAG_TMS/SWD_DIO,
Pin,PTA4,TSI0_CH5,PTA4/LLWU_P3,,FTM0_CH1,,,,NMI_b,EZP_CS_b
Pin,PTA5,,PTA5,USB_CLKIN,FTM0_CH2,,,I2S0_TX_BCLK,JTAG_TRST_b,
Pin,PTA12,,PTA12,,FTM1_CH0,,,I2S0_TXD0,FTM1_QD_PHA,
Pin,PTA13,,PTA13/LLWU_P4,,FTM1_CH1,,,I2S0_TX_FS,FTM1_QD_PHB,
Pin,PTA18,EXTAL0,PTA18,,FTM0_FLT2,FTM_CLKIN0,,,,
Pin,PTA19,XTAL0,PTA19,,FTM1_FLT0,FTM_CLKIN1,,LPTMR0_ALT1,,
Pin,PTB0,ADC0_SE8/TSI0_CH0,PTB0/LLWU_P5,I2C0_SCL,FTM1_CH0,,,FTM1_QD_PHA,,
Pin,PTB1,ADC0_SE9/TSI0_CH6,PTB1,I2C0_SDA,FTM1_CH1,,,FTM1_QD_PHB,,
Pin,PTB2,ADC0_SE12/TSI0_CH7,PTB2,I2C0_SCL,UART0_RTS_b,,,FTM0_FLT3,,
Pin,PTB3,ADC0_SE13/TSI0_CH8,PTB3,I2C0_SDA,UART0_CTS_b/UART0_COL_b,,,FTM0_FLT0,,
Pin,PTB16,TSI0_CH9,PTB16,,UART0_RX,,,EWM_IN,,
Pin,PTB17,TSI0_CH10,PTB17,,UART0_TX,,,EWM_OUT_b,,
Pin,PTB18,TSI0_CH11,PTB18,,,I2S0_TX_BCLK,,,,
Pin,PTB19,TSI0_CH12,PTB19,,,I2S0_TX_FS,,,,
Pin,PTC0,ADC0_SE14/TSI0_CH13,PTC0,SPI0_PCS4,PDB0_EXTRG,,,,,
Pin,PTC1,ADC0_SE15/TSI0_CH14,PTC1/LLWU_P6,SPI0_PCS3,UART1_RTS_b,FTM0_CH0,,I2S0_TXD0,,
Pin,PTC2,ADC0_SE4b/CMP1_IN0/TSI0_CH15,PTC2,SPI0_PCS2,UART1_CTS_b,FTM0_CH1,,I2S0_TX_FS,,
Pin,PTC3,CMP1_IN1,PTC3/LLWU_P7,SPI0_PCS1,UART1_RX,FTM0_CH2,,I2S0_TX_BCLK,,
Pin,PTC4,,PTC4/LLWU_P8,SPI0_PCS0,UART1_TX,FTM0_CH3,,CMP1_OUT,,
Pin,PTC5,,PTC5/LLWU_P9,SPI0_SCK,LPTMR0_ALT2,I2S0_RXD0,,CMP0_OUT,,
Pin,PTC6,CMP0_IN0,PTC6/LLWU_P10,SPI0_SOUT,PDB0_EXTRG,I2S0_RX_BCLK,,I2S0_MCLK,,
Pin,PTC7,CMP0_IN1,PTC7,SPI0_SIN,USB_SOF_OUT,I2S0_RX_FS,,,,
Pin,PTC8,CMP0_IN2,PTC8,,,I2S0_MCLK,,,,
Pin,PTC9,CMP0_IN3,PTC9,,,I2S0_RX_BCLK,,,,
Pin,PTC10,,PTC10,,,I2S0_RX_FS,,,,
Pin,PTC11,,PTC11/LLWU_P11,,,,,,,
Pin,PTD0,,PTD0/LLWU_P12,SPI0_PCS0,UART2_RTS_b,,,,,
Pin,PTD1,ADC0_SE5b,PTD1,SPI0_SCK,UART2_CTS_b,,,,,
Pin,PTD2,,PTD2/LLWU_P13,SPI0_SOUT,UART2_RX,,,,,
Pin,PTD3,,PTD3,SPI0_SIN,UART2_TX,,,,,
Pin,PTD4,,PTD4/LLWU_P14,SPI0_PCS1,UART0_RTS_b,FTM0_CH4,,EWM_IN,,
Pin,PTD5,ADC0_SE6b,PTD5,SPI0_PCS2,UART0_CTS_b/UART0_COL_b,FTM0_CH5,,EWM_OUT_b,,
Pin,PTD6,ADC0_SE7b,PTD6/LLWU_P15,SPI0_PCS3,UART0_RX,FTM0_CH6,,FTM0_FLT0,,
Pin,PTD7,,PTD7,CMT_IRO,UART0_TX,FTM0_CH7,,FTM0_FLT1,,
Pin,PTE0,,PTE0,,UART1_TX,,,,RTC_CLKOUT,
Pin,PTE1,,PTE1/LLWU_P0,,UART1_RX,,,,,
,,,,,,,,,,
Default,ADC0_12,PTB2,"[Disabled, PTB2]",,,,,,,
Default,ADC0_13,PTB3,"[Disabled, PTB3]",,,,,,,
Default,ADC0_14,PTC0,"[Disabled, PTC0]",,,,,,,
Default,ADC0_15,PTC1,"[Disabled, PTC1]",,,,,,,
Default,ADC0_23,ADC0_SE23,"[Disabled, ADC0_SE23]",,,,,,,
Default,ADC0_4,PTC2,"[Disabled, PTC2]",,,,,,,
