ID,Names,ALT0,ALT1,ALT2,ALT3,ALT4,ALT5,ALT6,ALT7
Pin,PTA0,TSI0_CH1,GPIOA_0,,TPM0_CH5,,,,SWD_CLK
Pin,PTA1,TSI0_CH2,GPIOA_1,UART0_RX,TPM2_CH0,,,,
Pin,PTA2,TSI0_CH3,GPIOA_2,UART0_TX,TPM2_CH1,,,,
Pin,PTA3,TSI0_CH4,GPIOA_3,I2C1_SCL,TPM0_CH0,,,,SWD_DIO
Pin,PTA4,TSI0_CH5,GPIOA_4,I2C1_SDA,TPM0_CH1,,,,NMI_b
Pin,PTA5,,GPIOA_5,USB_CLKIN,TPM0_CH2,,,,
Pin,PTA12,,GPIOA_12,,TPM1_CH0,,,,
Pin,PTA13,,GPIOA_13,,TPM1_CH1,,,,
Pin,PTA14,,GPIOA_14,SPI0_PCS0,UART0_TX,,,,
Pin,PTA15,,GPIOA_15,SPI0_SCK,UART0_RX,,,,
Pin,PTA16,,GPIOA_16,SPI0_MOSI,,,SPI0_MISO,,
Pin,PTA17,,GPIOA_17,SPI0_MISO,,,SPI0_MOSI,,
Pin,PTA18,EXTAL0,GPIOA_18,,UART1_RX,TPM_CLKIN0,,,
Pin,PTA19,XTAL0,GPIOA_19,,UART1_TX,TPM_CLKIN1,,LPTMR0_ALT1,
Pin,PTA20,,GPIOA_20,,,,,,
Pin,PTB0,ADC0_SE8/ TSI0_CH0,GPIOB_0/ LLWU_P5,I2C0_SCL,TPM1_CH0,,,,
Pin,PTB1,ADC0_SE9/ TSI0_CH6,GPIOB_1,I2C0_SDA,TPM1_CH1,,,,
Pin,PTB2,ADC0_SE12/ TSI0_CH7,GPIOB_2,I2C0_SCL,TPM2_CH0,,,,
Pin,PTB3,ADC0_SE13/ TSI0_CH8,GPIOB_3,I2C0_SDA,TPM2_CH1,,,,
Pin,PTB8,,GPIOB_8,,EXTRG_IN,,,,
Pin,PTB9,,GPIOB_9,,,,,,
Pin,PTB10,,GPIOB_10,SPI1_PCS0,,,,,
Pin,PTB11,,GPIOB_11,SPI1_SCK,,,,,
Pin,PTB16,TSI0_CH9,GPIOB_16,SPI1_MOSI,UART0_RX,TPM_CLKIN0,SPI1_MISO,,
Pin,PTB17,TSI0_CH10,GPIOB_17,SPI1_MISO,UART0_TX,TPM_CLKIN1,SPI1_MOSI,,
Pin,PTB18,TSI0_CH11,GPIOB_18,,TPM2_CH0,,,,
Pin,PTB19,TSI0_CH12,GPIOB_19,,TPM2_CH1,,,,
Pin,PTC0,ADC0_SE14/ TSI0_CH13,GPIOC_0,,EXTRG_IN,,CMP0_OUT,,
Pin,PTC1,ADC0_SE15/ TSI0_CH14,GPIOC_1/ LLWU_P6/ RTC_CLKIN,I2C1_SCL,,TPM0_CH0,,,
Pin,PTC2,ADC0_SE11/ TSI0_CH15,GPIOC_2,I2C1_SDA,,TPM0_CH1,,,
Pin,PTC3,,GPIOC_3/ LLWU_P7,,UART1_RX,TPM0_CH2,CLKOUT,,
Pin,PTC4,,GPIOC_4/ LLWU_P8,SPI0_PCS0,UART1_TX,TPM0_CH3,,,
Pin,PTC5,,GPIOC_5/ LLWU_P9,SPI0_SCK,LPTMR0_ALT2,,,CMP0_OUT,
Pin,PTC6,CMP0_IN0,GPIOC_6/ LLWU_P10,SPI0_MOSI,EXTRG_IN,,SPI0_MISO,,
Pin,PTC7,CMP0_IN1,GPIOC_7,SPI0_MISO,,,SPI0_MOSI,,
Pin,PTC8,CMP0_IN2,GPIOC_8,I2C0_SCL,TPM0_CH4,,,,
Pin,PTC9,CMP0_IN3,GPIOC_9,I2C0_SDA,TPM0_CH5,,,,
Pin,PTC10,,GPIOC_10,I2C1_SCL,,,,,
Pin,PTC11,,GPIOC_11,I2C1_SDA,,,,,
Pin,PTC12,,GPIOC_12,,,TPM_CLKIN0,,,
Pin,PTC13,,GPIOC_13,,,TPM_CLKIN1,,,
Pin,PTC16,,GPIOC_16,,,,,,
Pin,PTC17,,GPIOC_17,,,,,,
Pin,PTD0,,GPIOD_0,SPI0_PCS0,,TPM0_CH0,,,
Pin,PTD1,ADC0_SE5b,GPIOD_1,SPI0_SCK,,TPM0_CH1,,,
Pin,PTD2,,GPIOD_2,SPI0_MOSI,UART2_RX,TPM0_CH2,SPI0_MISO,,
Pin,PTD3,,GPIOD_3,SPI0_MISO,UART2_TX,TPM0_CH3,SPI0_MOSI,,
Pin,PTD4,,GPIOD_4/ LLWU_P14,SPI1_PCS0,UART2_RX,TPM0_CH4,,,
Pin,PTD5,ADC0_SE6b,GPIOD_5,SPI1_SCK,UART2_TX,TPM0_CH5,,,
Pin,PTD6,ADC0_SE7b,GPIOD_6/ LLWU_P15,SPI1_MOSI,UART0_RX,,SPI1_MISO,,
Pin,PTD7,,GPIOD_7,SPI1_MISO,UART0_TX,,SPI1_MOSI,,
Pin,PTE0,,GPIOE_0,,UART1_TX,RTC_CLKOUT,CMP0_OUT,I2C1_SDA,
Pin,PTE1,,GPIOE_1,SPI1_MOSI,UART1_RX,,SPI1_MISO,I2C1_SCL,
Pin,PTE2,,GPIOE_2,SPI1_SCK,,,,,
Pin,PTE3,,GPIOE_3,SPI1_MISO,,,SPI1_MOSI,,
Pin,PTE4,,GPIOE_4,SPI1_PCS0,,,,,
Pin,PTE5,,GPIOE_5,,,,,,
Pin,PTE20,ADC0_DP0/ ADC0_SE0,GPIOE_20,,TPM1_CH0,UART0_TX,,,
Pin,PTE21,ADC0_DM0/ ADC0_SE4a,GPIOE_21,,TPM1_CH1,UART0_RX,,,
Pin,PTE22,ADC0_DP3/ ADC0_SE3,GPIOE_22,,TPM2_CH0,UART2_TX,,,
Pin,PTE23,ADC0_DM3/ ADC0_SE7a,GPIOE_23,,TPM2_CH1,UART2_RX,,,
Pin,PTE24,,GPIOE_24,,TPM0_CH0,,I2C0_SCL,,
Pin,PTE25,,GPIOE_25,,TPM0_CH1,,I2C0_SDA,,
Pin,PTE29,CMP0_IN5/ ADC0_SE4b,GPIOE_29,,TPM0_CH2,TPM_CLKIN0,,,
Pin,PTE30,DAC0_OUT/ ADC0_SE23/ CMP0_IN4,GPIOE_30,,TPM0_CH3,TPM_CLKIN1,,,
Pin,PTE31,,GPIOE_31,,TPM0_CH4,,,,
,,,,,,,,,
Default,ADC0_0,PTE20,"[Disabled, PTE20]",,,,,,
Default,ADC0_11,PTC2,"[Disabled, PTC2]",,,,,,
Default,ADC0_12,PTB2,"[Disabled, PTB2]",,,,,,
Default,ADC0_13,PTB3,"[Disabled, PTB3]",,,,,,
Default,ADC0_14,PTC0,"[Disabled, PTC0]",,,,,,
Default,ADC0_15,PTC1,"[Disabled, PTC1]",,,,,,
Default,ADC0_23,PTE30,"[Disabled, PTE30]",,,,,,
Default,ADC0_3,PTE22,"[Disabled, PTE22]",,,,,,
Default,ADC0_4,PTE29,"[Disabled, PTE29]",,,,,,
Default,ADC0_5,PTD1,"[Disabled, PTD1]",,,,,,
Default,ADC0_6,PTD5,"[Disabled, PTD5]",,,,,,
Default,ADC0_7,PTD6,"[Disabled, PTD6]",,,,,,
Default,ADC0_8,PTB0,"[Disabled, PTB0]",,,,,,
Default,ADC0_9,PTB1,"[Disabled, PTB1]",,,,,,
Default,I2C0_SCL,PTE24,"[Disabled, PTB0, PTB2, PTC8, PTE24]",,,,,,
Default,I2C0_SDA,PTE25,"[Disabled, PTB1, PTB3, PTC9, PTE25]",,,,,,
Default,I2C1_SCL,PTE1,"[Disabled, PTA3, PTC1, PTC10, PTE1]",,,,,,
Default,I2C1_SDA,PTE0,"[Disabled, PTA4, PTC2, PTC11, PTE0]",,,,,,
Default,LPTMR0_1,Disabled,"[Disabled, PTA19]",,,,,,
Default,LPTMR0_2,Disabled,"[Disabled, PTC5]",,,,,,
Default,SPI0_MISO,PTD3,"[Disabled, PTA16, PTA17, PTC6, PTC7, PTD2, PTD3]",,,,,,
Default,SPI0_MOSI,PTD2,"[Disabled, PTA16, PTA17, PTC6, PTC7, PTD2, PTD3]",,,,,,
Default,SPI0_PCS0,Disabled,"[Disabled, PTA14, PTC4, PTD0]",,,,,,
Default,SPI0_SCK,PTD1,"[Disabled, PTA15, PTC5, PTD1]",,,,,,
Default,SPI1_MISO,PTB16,"[Disabled, PTB16, PTB17, PTD6, PTD7, PTE1, PTE3]",,,,,,
Default,SPI1_MOSI,PTB17,"[Disabled, PTB16, PTB17, PTD6, PTD7, PTE1, PTE3]",,,,,,
Default,SPI1_PCS0,Disabled,"[Disabled, PTB10, PTD4, PTE4]",,,,,,
Default,SPI1_SCK,PTB11,"[Disabled, PTB11, PTD5, PTE2]",,,,,,
Default,TPM0_0,PTD0,"[Disabled, PTA3, PTC1, PTD0, PTE24]",,,,,,
