Manual,K22P80M120SF5RM,K22P100M120SF5RM,K22P121M120SF5RM,K22P144M120SF5RM,,,,,,,,,,,,
Devices,MK22FX512M12,MK22FX512AM12,MK22FN1M0M12,MK22FN1M0AM12,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Key,Name,Alias MK22F12,Reset,Default,ALT0,ALT1,ALT2,ALT3,ALT4,ALT5,ALT6,ALT7,EzPort,Key,121-BGA,64-LQFP
Pin,PTE0,,ADC1_SE4a,PTE0,ADC1_SE4a,PTE0,SPI1_PCS1,UART1_TX,SDHC0_D1,TRACE_CLKOUT,I2C1_SDA,RTC_CLKOUT,,0,E4,1
Pin,PTE1,,ADC1_SE5a,PTE1/LLWU_P0,ADC1_SE5a,PTE1/LLWU_P0,SPI1_SOUT,UART1_RX,SDHC0_D0,TRACE_D3,I2C1_SCL,SPI1_SIN,,1,E3,2
Pin,PTE2,,ADC0_DP2/ADC1_SE6a,,ADC0_DP2/ADC1_SE6a,PTE2/LLWU_P1,SPI1_SCK,UART1_CTS_b,SDHC0_DCLK,TRACE_D2,,,,2,E2,
Pin,PTE3,,ADC0_DM2/ADC1_SE7a,,ADC0_DM2/ADC1_SE7a,PTE3,SPI1_SIN,UART1_RTS_b,SDHC0_CMD,TRACE_D1,,SPI1_SOUT,,3,F4,
,VDD,,VDD,,VDD,,,,,,,,,4,E7,3
,VSS,,VSS,,VSS,,,,,,,,,5,F7,4
Pin,PTE4,,,,,PTE4/LLWU_P2,SPI1_PCS0,UART3_TX,SDHC0_D3,TRACE_D0,,,,6,H7,
Pin,PTE5,,,,,PTE5,SPI1_PCS2,UART3_RX,SDHC0_D2,,FTM3_CH0,,,7,G4,
Pin,PTE6,,,,,PTE6,SPI1_PCS3,UART3_CTS_b,I2S0_MCLK,,FTM3_CH1,USB_SOF_OUT,,8,F3,
,VDD,,VDD,,VDD,,,,,,,,,9,E6,
,VSS,,VSS,,VSS,,,,,,,,,10,G7,
,VSS,,VSS,,VSS,,,,,,,,,11,L6,
Pin,USB0_DP,,USB0_DP,,USB0_DP,,,,,,,,,12,F1,5
Pin,USB0_DM,,USB0_DM,,USB0_DM,,,,,,,,,13,F2,6
,VOUT33,,VOUT33,,VOUT33,,,,,,,,,14,G1,7
,VREGIN,,VREGIN,,VREGIN,,,,,,,,,15,G2,8
Pin,ADC0_DP1,,ADC0_DP1,,ADC0_DP1,,,,,,,,,16,H1,
Pin,ADC0_DM1,,ADC0_DM1,,ADC0_DM1,,,,,,,,,17,H2,
Pin,ADC1_DP1,,ADC1_DP1,,ADC1_DP1,,,,,,,,,18,J1,
Pin,ADC1_DM1,,ADC1_DM1,,ADC1_DM1,,,,,,,,,19,J2,
Pin,ADC0_DP0,,ADC0_DP0/ADC1_DP3,,ADC0_DP0/ADC1_DP3,,,,,,,,,20,K1,9
Pin,ADC0_DM0,,ADC0_DM0/ADC1_DM3,,ADC0_DM0/ADC1_DM3,,,,,,,,,21,K2,10
Pin,ADC1_DP0,,ADC1_DP0/ADC0_DP3,,ADC1_DP0/ADC0_DP3,,,,,,,,,22,L1,11
Pin,ADC1_DM0,,ADC1_DM0/ADC0_DM3,,ADC1_DM0/ADC0_DM3,,,,,,,,,23,L2,12
,VDDA,,VDDA,,VDDA,,,,,,,,,24,F5,13
,VREFH,,VREFH,,VREFH,,,,,,,,,25,G5,14
,VREFL,,VREFL,,VREFL,,,,,,,,,26,G6,15
,VSSA,,VSSA,,VSSA,,,,,,,,,27,F6,16
Pin,ADC1_SE16,,,,ADC1_SE16/CMP2_IN2/ADC0_SE22,,,,,,,,,28,J3,
Pin,ADC0_SE16,,,,ADC0_SE16/CMP1_IN2/ADC0_SE21,,,,,,,,,29,H3,
Pin,ADC1_SE18,,VREF_OUT/CMP1_IN5/CMP0_IN5/ADC1_SE18,,VREF_OUT/CMP1_IN5/CMP0_IN5/ADC1_SE18,,,,,,,,,30,L3,17
Pin,ADC0_SE23,,DAC0_OUT/CMP1_IN3/ADC0_SE23,,DAC0_OUT/CMP1_IN3/ADC0_SE23,,,,,,,,,31,K5,18
Pin,DAC1_OUT,,DAC1_OUT/CMP0_IN4/CMP2_IN3/ADC1_SE23,,DAC1_OUT/CMP0_IN4/CMP2_IN3/ADC1_SE23,,,,,,,,,32,K4,
,RTC_WAKEUP_B,,RTC_WAKEUP_B,,RTC_WAKEUP_B,,,,,,,,,33,L7,
Pin,XTAL32,,XTAL32,,,,,,,,,,,34,L4,19
Pin,EXTAL32,,EXTAL32,,,,,,,,,,,35,L5,20
,VBAT,,VBAT,,,,,,,,,,,36,K6,21
Pin,PTE24,,,,ADC0_SE17,PTE24,,UART4_TX,,,EWM_OUT_b,,,37,H5,
Pin,PTE25,,,,ADC0_SE18,PTE25,,UART4_RX,,,EWM_IN,,,38,J5,
Pin,PTE26,,,,,PTE26,,UART4_CTS_b,,,RTC_CLKOUT,USB_CLKIN,,39,H6,
Pin,PTA0,,JTAG_TCLK/SWD_CLK/EZP_CLK,,,PTA0,UART0_CTS_b/UART0_COL_b,FTM0_CH5,,,,JTAG_TCLK/SWD_CLK,EZP_CLK,40,J6,22
Pin,PTA1,,JTAG_TDI/EZP_DI,PTA1,,PTA1,UART0_RX,FTM0_CH6,,,,JTAG_TDI,EZP_DI,41,H8,23
Pin,PTA2,,JTAG_TDO/TRACE_SWO/EZP_DO,PTA2,,PTA2,UART0_TX,FTM0_CH7,,,,JTAG_TDO/TRACE_SWO,EZP_DO,42,J7,24
