Manual,K22P121M120SF7RM,K22P121M120SF8RM,,,,,,,,,,,,
Devices,MK22FN512M12,MK22FN256M12,,,,,,,,,,,,
,,,,,,,,,,,,,,
Key,Pin,Alias FRDM_K22F,Reset,Default,ALT0,ALT1,ALT2,ALT3,ALT4,ALT5,ALT6,ALT7,EzPort,64 LQFP
Pin,PTE0,D14/J2_18/ConTx,ADC1_SE4a,I2C1_SDA,ADC1_SE4a,GPIOE_0/CLKOUT32K,SPI1_PCS1,UART1_TX,,,I2C1_SDA,RTC_CLKOUT,,1
Pin,PTE1,D15/J2_19/ConRx,ADC1_SE5a,I2C1_SCL,ADC1_SE5a,GPIOE_1/LLWU_P0,SPI1_SOUT,UART1_RX,,,I2C1_SCL,SPI1_SIN,,2
,VDD,,,,,,,,,,,,,3
,VSS,,,,,,,,,,,,,4
,USB0_DP,,,,,,,,,,,,,5
,USB0_DM,,,,,,,,,,,,,6
,VOUT33,,,,,,,,,,,,,7
,VREGIN,,,,,,,,,,,,,8
Pin,ADC0_DP0,J24_1,ADC0_DP0/ADC1_DP3/ADC0_SE0,,,,,,,,,,,9
Pin,ADC0_DM0,J24_3,ADC0_DM0/ADC1_DM3/ADC0_SE19,,,,,,,,,,,10
Pin,ADC0_DP3,J24_5,ADC1_DP0/ADC0_DP3/ADC1_SE0/ADC0_SE3,,,,,,,,,,,11
Pin,ADC0_DM3,J24_7,ADC1_DM0/ADC0_DM3/ADC1_SE19,,,,,,,,,,,12
,VDDA,,,,,,,,,,,,,13
,VREFH,,,,,,,,,,,,,14
,VREFL,,,,,,,,,,,,,15
,VSSA,,,,,,,,,,,,,16
Pin,ADC1_SE18,,VREF_OUT/CMP1_IN5/CMP0_IN5/ADC1_SE18,,,,,,,,,,,17
Pin,ADC0_SE23,J24_11,DAC0_OUT/CMP1_IN3/ADC0_SE23,,,,,,,,,,,18
,XTAL32,,,,,,,,,,,,,19
,EXTAL32,,,,,,,,,,,,,20
,VBAT,,,,,,,,,,,,,21
Pin,PTA0,,JTAG_TCLK/SWD_CLK,,,GPIOA_0,UART0_CTS_b,FTM0_CH5,,,,JTAG_TCLK/SWD_CLK,EZP_CLK,22
Pin,PTA1,D9/J2_4/LED_RED,JTAG_TDI,FTM0_CH6,,GPIOA_1,UART0_RX,FTM0_CH6,,,,JTAG_TDI,EZP_DI,23
Pin,PTA2,D3/J1_8/LED_GREEN,JTAG_TDO/TRACE_SWO,FTM0_CH7,,GPIOA_2,UART0_TX,FTM0_CH7,,,,JTAG_TDO/TRACE_SWO,EZP_DO,24
Pin,PTA3,,JTAG_TMS/SWD_DIO,,,GPIOA_3,UART0_RTS_b,FTM0_CH0,,,,JTAG_TMS/SWD_DIO,,25
Pin,PTA4,D4/J1_10,NMI_b,FTM0_CH1,,GPIOA_4/LLWU_P3,,FTM0_CH1,,,,NMI_b,EZP_CS_b,26
Pin,PTA5,J1_1,JTAG_TRST_b,,,GPIOA_5,USB_CLKIN,FTM0_CH2,,,I2S0_TX_BCLK,JTAG_TRST_b,,26
Pin,PTA12,J1_5,Disabled,,,GPIOA_12,,FTM1_CH0,,,I2S0_TXD0,FTM1_QD_PHA,,28
Pin,PTA13,J1_3,Disabled,,,GPIOA_13/LLWU_P4,,FTM1_CH1,,,I2S0_TX_FS,FTM1_QD_PHB,,29
,VDD,,,,,,,,,,,,,30
,VSS,,,,,,,,,,,,,31
Pin,PTA18,,EXTAL0,EXTAL0,EXTAL0,GPIOA_18,,FTM0_FLT2,FTM_CLKIN0,,,,,32
Pin,PTA19,,XTAL0,XTAL0,XTAL0,GPIOA_19,,FTM1_FLT0,FTM_CLKIN1,,LPTMR0_ALT1,,,33
,RESETb,,,,,,,,,,,,,34
Pin,PTB0,A0/J24_2,ADC0_SE8/ADC1_SE8,ADC0_SE8/ADC1_SE8,ADC0_SE8/ADC1_SE8,GPIOB_0/LLWU_P5,I2C0_SCL,FTM1_CH0,,,FTM1_QD_PHA,,,35
Pin,PTB1,A1/J24_4,ADC0_SE9/ADC1_SE9,ADC0_SE9/ADC1_SE9,ADC0_SE9/ADC1_SE9,GPIOB_1,I2C0_SDA,FTM1_CH1,,,FTM1_QD_PHB,,,36
Pin,PTB2,A5/J24_12/ONBOARD_SCL,ADC0_SE12,ADC0_SE12,ADC0_SE12,GPIOB_2,I2C0_SCL,UART0_RTS_b,,,FTM0_FLT3,,,37
Pin,PTB3,A4/J24_10/ONBOARD_SDA,ADC0_SE13,ADC0_SE13,ADC0_SE13,GPIOB_3,I2C0_SDA,UART0_CTS_b,,,FTM0_FLT0,,,38
Pin,PTB16,D2/J1_6,Disabled,GPIOB_16,,GPIOB_16,SPI1_SOUT,UART0_RX,FTM_CLKIN0,,EWM_IN,,,39
Pin,PTB17,,Disabled,,,GPIOB_17,SPI1_SIN,UART0_TX,FTM_CLKIN1,,EWM_OUT_b,,,40
Pin,PTB18,D5/J1_12,Disabled,GPIOB_18,,GPIOB_18,,FTM2_CH0,I2S0_TX_BCLK,,FTM2_QD_PHA,,,41
Pin,PTB19,D8/J2_2,Disabled,GPIOB_19,,GPIOB_19,,FTM2_CH1,I2S0_TX_FS,,FTM2_QD_PHB,,,42
Pin,PTC0,,ADC0_SE14,,ADC0_SE14,GPIOC_0,SPI0_PCS4,PDB0_EXTRG,USB_SOF_OUT,,,,,43
Pin,PTC1,A2/J24_6,ADC0_SE15,ADC0_SE15,ADC0_SE15,GPIOC_1/LLWU_P6,SPI0_PCS3,UART1_RTS_b,FTM0_CH0,,I2S0_TXD0,LPUART0_RTS_b,,44
Pin,PTC2,A3/J24_8,ADC0_SE4b/CMP1_IN0,ADC0_SE4b/CMP1_IN0,ADC0_SE4b/CMP1_IN0,GPIOC_2,SPI0_PCS2,UART1_CTS_b,FTM0_CH1,,I2S0_TX_FS,LPUART0_CTS_b,,45
Pin,PTC3,D6/J1_14,CMP1_IN1,GPIOC_3/LLWU_P7,CMP1_IN1,GPIOC_3/LLWU_P7,SPI0_PCS1,UART1_RX,FTM0_CH2,CLKOUT,I2S0_TX_BCLK,LPUART0_RX,,46
,VSS,,,,,,,,,,,,,47
,VDD,,,,,,,,,,,,,48
Pin,PTC4,J24_9,Disabled,,,GPIOC_4/LLWU_P8,SPI0_PCS0,UART1_TX,FTM0_CH3,,CMP1_OUT,LPUART0_TX,,49
Pin,PTC5,J1_15,Disabled,,,GPIOC_5/LLWU_P9,SPI0_SCK,LPTMR0_ALT2,I2S0_RXD0,,CMP0_OUT,FTM0_CH2,,50
Pin,PTC6,D7/J1_16,CMP0_IN0,GPIOC_6/LLWU_P10,CMP0_IN0,GPIOC_6/LLWU_P10,SPI0_SOUT,PDB0_EXTRG,I2S0_RX_BCLK,,I2S0_MCLK,,,51
Pin,PTC7,J1_11,CMP0_IN1,,CMP0_IN1,GPIOC_7,SPI0_SIN,USB_SOF_OUT,I2S0_RX_FS,,,,,52
Pin,PTC8,J1_7,ADC1_SE4b/CMP0_IN2,,ADC1_SE4b/CMP0_IN2,GPIOC_8,,,I2S0_MCLK,,,,,53
Pin,PTC9,J1_9,ADC1_SE5b/CMP0_IN3,,ADC1_SE5b/CMP0_IN3,GPIOC_9,,,I2S0_RX_BCLK,,FTM2_FLT0,,,54
Pin,PTC10,J1_13,ADC1_SE6b,,ADC1_SE6b,GPIOC_10,I2C1_SCL,,I2S0_RX_FS,,,,,55
Pin,PTC11,,ADC1_SE7b,,ADC1_SE7b,GPIOC_11/LLWU_P11,I2C1_SDA,,,,,,,56
Pin,PTD0,,Disabled,,,GPIOD_0/LLWU_P12,SPI0_PCS0,UART2_RTS_b,,,LPUART0_RTS_b,,,57
Pin,PTD1,,ADC0_SE5b,,ADC0_SE5b,GPIOD_1,SPI0_SCK,UART2_CTS_b,,,LPUART0_CTS_b,,,58
Pin,PTD2,D0/J1_2,Disabled,GPIOD_2/LLWU_P13,,GPIOD_2/LLWU_P13,SPI0_SOUT,UART2_RX,,,LPUART0_RX,I2C0_SCL,,59
Pin,PTD3,D1/J1_4,Disabled,GPIOD_3,,GPIOD_3,SPI0_SIN,UART2_TX,,,LPUART0_TX,I2C0_SDA,,60
Pin,PTD4,D10/J2_6,Disabled,GPIOD_4/LLWU_P14,,GPIOD_4/LLWU_P14,SPI0_PCS1,UART0_RTS_b,FTM0_CH4,,EWM_IN,SPI1_PCS0,,61
Pin,PTD5,D13/J2_12/LED_BLUE,ADC0_SE6b,FTM0_CH5,ADC0_SE6b,GPIOD_5,SPI0_PCS2,UART0_CTS_b,FTM0_CH5,,EWM_OUT_b,SPI1_SCK,,62
Pin,PTD6,D11/J2_8,ADC0_SE7b,SPI1_SOUT,ADC0_SE7b,GPIOD_6/LLWU_P15,SPI0_PCS3,UART0_RX,FTM0_CH6,,FTM0_FLT0,SPI1_SOUT,,63
Pin,PTD7,D12/J2_10,Disabled,SPI1_SIN,,GPIOD_7,,UART0_TX,FTM0_CH7,,FTM0_FLT1,SPI1_SIN,,64
Pin,ADC0_DM1,,ADC0_DM1/ADC0_SE20,,,,,,,,,,,
Pin,ADC0_DP1,,ADC0_DP1/ADC0_SE1,,,,,,,,,,,
Pin,ADC1_DM1,,ADC1_DM1/ADC0_DM2/ADC1_SE20,,,,,,,,,,,
Pin,ADC1_DP1,,ADC1_DP1/ADC0_DP2/ADC1_SE1/ADC0_SE2,,,,,,,,,,,
Pin,ADC1_SE23,,CMP0_IN4/ADC1_SE23,,,,,,,,,,,
Pin,PTA14,,Disabled,,,GPIOA_14,SPI0_PCS0,UART0_TX,,,I2S0_RX_BCLK,,,
Pin,PTA15,,Disabled,SPI0_SCK,,GPIOA_15,SPI0_SCK,UART0_RX,,,I2S0_RXD0,,,
Pin,PTA16,,Disabled,SPI0_SOUT,,GPIOA_16,SPI0_SOUT,UART0_CTS_b,,,I2S0_RX_FS,,,
Pin,PTA17,,ADC1_SE17,SPI0_SIN,ADC1_SE17,GPIOA_17,SPI0_SIN,UART0_RTS_b,,,I2S0_MCLK,,,
Pin,PTB6,,ADC1_SE12,,ADC1_SE12,GPIOB_6,,,,,,,,
Pin,PTB7,,ADC1_SE13,,ADC1_SE13,GPIOB_7,,,,,,,,
Pin,PTB8,,Disabled,,,GPIOB_8,,LPUART0_RTS_b,,,,,,
Pin,PTB9,,Disabled,,,GPIOB_9,SPI1_PCS1,LPUART0_CTS_b,,,,,,
Pin,PTB10,,ADC1_SE14,ADC1_SE14,ADC1_SE14,GPIOB_10,SPI1_PCS0,LPUART0_RX,,,FTM0_FLT1,,,
Pin,PTB11,,ADC1_SE15,ADC1_SE15,ADC1_SE15,GPIOB_11,SPI1_SCK,LPUART0_TX,,,FTM0_FLT2,,,
Pin,PTB20,,Disabled,,,GPIOB_20,,,,,CMP0_OUT,,,
Pin,PTB21,,Disabled,,,GPIOB_21,,,,,CMP1_OUT,,,
Pin,PTB22,,Disabled,,,GPIOB_22,,,,,,,,
Pin,PTB23,,Disabled,,,GPIOB_23,,SPI0_PCS5,,,,,,
Pin,PTC12,,Disabled,,,GPIOC_12,,,,,,,,
Pin,PTC13,,Disabled,,,GPIOC_13,,,,,,,,
Pin,PTC14,,Disabled,,,GPIOC_14,,,,,,,,
Pin,PTC15,,Disabled,,,GPIOC_15,,,,,,,,
Pin,PTC16,,Disabled,,,GPIOC_16,,LPUART0_RX,,,,,,
Pin,PTC17,,Disabled,,,GPIOC_17,,LPUART0_TX,,,,,,
Pin,PTC18,,Disabled,,,GPIOC_18,,LPUART0_RTS_b,,,,,,
Pin,PTC19,,Disabled,,,GPIOC_19,,LPUART0_CTS_b,,,,,,
Pin,PTE2,,ADC1_SE6a,,ADC1_SE6a,GPIOE_2/LLWU_P1,SPI1_SCK,UART1_CTS_b,,,,,,
Pin,PTE3,,ADC1_SE7a,,ADC1_SE7a,GPIOE_3,SPI1_SIN,UART1_RTS_b,,,,SPI1_SOUT,,
Pin,PTE4,,Disabled,,,GPIOE_4/LLWU_P2,SPI1_PCS0,LPUART0_TX,,,,,,
Pin,PTE5,,Disabled,,,GPIOE_5,SPI1_PCS2,LPUART0_RX,,,,,,
Pin,PTE6,,Disabled,,,GPIOE_6,SPI1_PCS3,LPUART0_CTS_b,I2S0_MCLK,,,USB_SOF_OUT,,
Pin,PTE24,,ADC0_SE17,,ADC0_SE17,GPIOE_24,,,,I2C0_SCL,EWM_OUT_b,,,
Pin,PTE25,,ADC0_SE18,,ADC0_SE18,GPIOE_25,,,,I2C0_SDA,EWM_IN,,,
Pin,PTE26,,Disabled,,,GPIOE_26/CLKOUT32K,,,,,RTC_CLKOUT,USB_CLKIN,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
ClockInfo,EWM,SIM->SCGC4,,,,,,,,,,,,
ClockInfo,I2C0,SIM->SCGC4,,,,,,,,,,,,
ClockInfo,I2C1,SIM->SCGC4,,,,,,,,,,,,
ClockInfo,UART0,SIM->SCGC4,,,,,,,,,,,,
ClockInfo,UART1,SIM->SCGC4,,,,,,,,,,,,
ClockInfo,UART2,SIM->SCGC4,,,,,,,,,,,,
ClockInfo,USBOTG,SIM->SCGC4,,,,,,,,,,,,
ClockInfo,CMP,SIM->SCGC4,,,,,,,,,,,,
ClockInfo,VREF,SIM->SCGC4,,,,,,,,,,,,
,,,,,,,,,,,,,,
ClockInfo,LPTMR0,SIM->SCGC5,SIM_SCGC5_LPTMR_MASK,,,,,,,,,,,
ClockInfo,PORTA,SIM->SCGC5,,,,,,,,,,,,
ClockInfo,PORTB,SIM->SCGC5,,,,,,,,,,,,
ClockInfo,PORTC,SIM->SCGC5,,,,,,,,,,,,
ClockInfo,PORTD,SIM->SCGC5,,,,,,,,,,,,
ClockInfo,PORTE,SIM->SCGC5,,,,,,,,,,,,
,,,,,,,,,,,,,,
ClockInfo,DMAMUX0,SIM->SCGC6,,,,,,,,,,,,
ClockInfo,ADC1,SIM->SCGC6,,,,,,,,,,,,
ClockInfo,RNGA,SIM->SCGC6,,,,,,,,,,,,
ClockInfo,LPUART0,SIM->SCGC6,,,,,,,,,,,,
ClockInfo,SPI0,SIM->SCGC6,,,,,,,,,,,,
ClockInfo,SPI1,SIM->SCGC6,,,,,,,,,,,,
ClockInfo,I2S0,SIM->SCGC6,,,,,,,,,,,,
ClockInfo,PDB0,SIM->SCGC6,,,,,,,,,,,,
ClockInfo,PIT,SIM->SCGC6,,,,,,,,,,,,
ClockInfo,FTM0,SIM->SCGC6,,,,,,,,,,,,
ClockInfo,FTM1,SIM->SCGC6,,,,,,,,,,,,
ClockInfo,FTM2,SIM->SCGC6,,,,,,,,,,,,
ClockInfo,ADC0,SIM->SCGC6,,,,,,,,,,,,
ClockInfo,RTC,SIM->SCGC6,,,,,,,,,,,,
ClockInfo,DAC0,SIM->SCGC6,,,,,,,,,,,,
,,,,,,,,,,,,,,
ClockInfo,DMA,SIM->SCGC7,,,,,,,,,,,,
,,,,,,,,,,,,,,
LPTMR_PCS,0,MCGIRCLK,,,,,,,,,,,,
,1,LPO - 1 kHz clock,,,,,,,,,,,,
,2,ERCLK32K,,,,,,,,,,,,
,3,OSCERCLK_UNDIV - Undivided external,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,DMA #,Source,Async DMA,,,,,,,,,,
DmaMux,0,0,Disabled,,,,,,,,,,,
DmaMux,0,2,UART0_Receive,,,,,,,,,,,
DmaMux,0,3,UART0_Transmit,,,,,,,,,,,
DmaMux,0,4,UART1_Receive,,,,,,,,,,,
DmaMux,0,5,UART1_Transmit,,,,,,,,,,,
DmaMux,0,6,UART2_Receive,,,,,,,,,,,
DmaMux,0,7,UART2_Transmit,,,,,,,,,,,
DmaMux,0,12,I2S0_Receive,Yes,,,,,,,,,,
DmaMux,0,13,I2S0_Transmit,Yes,,,,,,,,,,
DmaMux,0,14,SPI0_Receive,,,,,,,,,,,
DmaMux,0,15,SPI0_Transmit,,,,,,,,,,,
DmaMux,0,16,SPI0_TransmitReceive,,,,,,,,,,,
DmaMux,0,18,I2C0,,,,,,,,,,,
DmaMux,0,19,I2C1,,,,,,,,,,,
DmaMux,0,20,FTM0_Ch_0,,,,,,,,,,,
DmaMux,0,21,FTM0_Ch_1,,,,,,,,,,,
DmaMux,0,22,FTM0_Ch_2,,,,,,,,,,,
DmaMux,0,23,FTM0_Ch_3,,,,,,,,,,,
DmaMux,0,24,FTM0_Ch_4,,,,,,,,,,,
DmaMux,0,25,FTM0_Ch_5,,,,,,,,,,,
DmaMux,0,26,FTM0_Ch_6,,,,,,,,,,,
DmaMux,0,27,FTM0_Ch_7,,,,,,,,,,,
DmaMux,0,28,FTM1_Ch_0,,,,,,,,,,,
DmaMux,0,29,FTM1_Ch_1,,,,,,,,,,,
DmaMux,0,30,FTM2_Ch_0,,,,,,,,,,,
DmaMux,0,31,FTM2_Ch_1,,,,,,,,,,,
DmaMux,0,32,FTM3_Ch_0,,,,,,,,,,,
DmaMux,0,33,FTM3_Ch_1,,,,,,,,,,,
DmaMux,0,34,FTM3_Ch_2,,,,,,,,,,,
DmaMux,0,35,FTM3_Ch_3,,,,,,,,,,,
DmaMux,0,36,FTM3_Ch_4,,,,,,,,,,,
DmaMux,0,37,FTM3_Ch_5,,,,,,,,,,,
DmaMux,0,38,FTM3_Ch_6,,,,,,,,,,,
DmaMux,0,39,FTM3_Ch_7,,,,,,,,,,,
DmaMux,0,40,ADC0,Yes,,,,,,,,,,
DmaMux,0,41,ADC1,Yes,,,,,,,,,,
DmaMux,0,42,CMP0,Yes,,,,,,,,,,
DmaMux,0,43,CMP1,Yes,,,,,,,,,,
DmaMux,0,45,DAC0,,,,,,,,,,,
DmaMux,0,46,DAC1,,,,,,,,,,,
DmaMux,0,48,PDB,,,,,,,,,,,
DmaMux,0,49,PortA,Yes,,,,,,,,,,
DmaMux,0,50,PortB,Yes,,,,,,,,,,
DmaMux,0,51,PortC,Yes,,,,,,,,,,
DmaMux,0,52,PortD,Yes,,,,,,,,,,
DmaMux,0,53,PortE,Yes,,,,,,,,,,
DmaMux,0,58,LPUART_Receive,Yes,,,,,,,,,,
DmaMux,0,59,LPUART_Transmit,Yes,,,,,,,,,,
DmaMux,0,60,AlwaysEnabled0,,,,,,,,,,,
DmaMux,0,61,AlwaysEnabled1,,,,,,,,,,,
DmaMux,0,62,AlwaysEnabled2,,,,,,,,,,,
DmaMux,0,63,AlwaysEnabled3,,,,,,,,,,,
