Manual,K22P64M120SF5RM,K22P64M120SF5V2RM,,,,,,,,,,,,,,,,
Devices,MK22FX512M12,MK22FX512AM12,MK22FN1M0M12,MK22FN1M0AM12,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Key,Name,Alias MK22F12-LQFP64,Alias MK22FA12-LQFP64,Alias MK22F12-FRDM,Reset,Default,ALT0,ALT1,ALT2,ALT3,ALT4,ALT5,ALT6,ALT7,EzPort,Key,121-BGA,64-LQFP
Pin,PTE0,,,D1,ADC1_SE4a,PTE0,ADC1_SE4a,PTE0,,UART1_TX,,TRACE_CLKOUT,I2C1_SDA,RTC_CLKOUT,,0,E4,1
Pin,PTE1/LLWU_P0,,,D0,ADC1_SE5a,PTE1/LLWU_P0,ADC1_SE5a,PTE1/LLWU_P0,,UART1_RX,,TRACE_D3,I2C1_SCL,,,1,E3,2
,VDD,,,,VDD,,VDD,,,,,,,,,4,E7,3
,VSS,,,,VSS,,VSS,,,,,,,,,5,F7,4
Pin,USB0_DP,,,,USB0_DP,,,,,,,,,,,12,F1,5
Pin,USB0_DM,,,,USB0_DM,,,,,,,,,,,13,F2,6
Pin,VOUT33,,,,VOUT33,,,,,,,,,,,14,G1,7
Pin,VREGIN,,,,VREGIN,,,,,,,,,,,15,G2,8
Pin,ADC0_DP0/ADC1_DP3,,,,ADC0_DP0/ADC1_DP3,,,,,,,,,,,20,K1,9
Pin,ADC0_DM0/ADC1_DM3,,,,ADC0_DM0/ADC1_DM3,,,,,,,,,,,21,K2,10
Pin,ADC1_DP0/ADC0_DP3,,,,ADC1_DP0/ADC0_DP3,,,,,,,,,,,22,L1,11
Pin,ADC1_DM0/ADC0_DM3,,,,ADC1_DM0/ADC0_DM3,,,,,,,,,,,23,L2,12
,VDDA,,,,VDDA,,,,,,,,,,,24,F5,13
,VREFH,,,,VREFH,,,,,,,,,,,25,G5,14
,VREFL,,,,VREFL,,,,,,,,,,,26,G6,15
,VSSA,,,,VSSA,,,,,,,,,,,27,F6,16
Pin,VREF_OUT/CMP1_IN5/CMP0_IN5/ADC1_SE18,,,,VREF_OUT/CMP1_IN5/CMP0_IN5/ADC1_SE18,,,,,,,,,,,30,L3,17
Pin,DAC0_OUT/CMP1_IN3/ADC0_SE23,,,,DAC0_OUT/CMP1_IN3/ADC0_SE23,,,,,,,,,,,31,K5,18
