ID,Names,Aliases,RESET_b,Default,ALT0,ALT1,ALT2,ALT3,ALT4,ALT5,ALT6,ALT7,Seq,"32
QFN","48
QFN","64
BGA","64
LQFP"
Pin,PTE1,,DISABLED,,,GPIOE_1,SPI1_MOSI,LPUART1_RX,,SPI1_MISO,I2C1_SCL,,1,-,-,B1,2
,VDD,,VDD,,,,,,,,,,2,-,1,-,3
Pin,PTE20,,ADC0_DP0/ADC0_SE0,,ADC0_DP0/ADC0_SE0,GPIOE_20,,TPM1_CH0,LPUART0_TX,,FXIO0_D4,,3,-,7,G1,9
Pin,PTE21,,ADC0_DM0/ADC0_SE4a,,ADC0_DM0/ADC0_SE4a,GPIOE_21,,TPM1_CH1,LPUART0_RX,,FXIO0_D5,,4,-,8,F1,10
Pin,PTE22,,ADC0_DP3/ADC0_SE3,,ADC0_DP3/ADC0_SE3,GPIOE_22,,TPM2_CH0,UART2_TX,,FXIO0_D6,,5,-,-,G2,11
Pin,PTE23,,ADC0_DM3/ADC0_SE7a,,ADC0_DM3/ADC0_SE7a,GPIOE_23,,TPM2_CH1,UART2_RX,,FXIO0_D7,,6,-,-,F2,12
,VREFH,,VREFH,,,,,,,,,,7,-,10,G4,14
,VREFL,,VREFL,,,,,,,,,,8,-,11,G3,15
Pin,PTE29,,CMP0_IN5/ADC0_SE4b,,CMP0_IN5/ADC0_SE4b,GPIOE_29,,TPM0_CH2,TPM_CLKIN0,,,,9,-,13,H1,17
Pin,PTE31,,DISABLED,,,GPIOE_31,,TPM0_CH4,,,,,10,-,-,H3,19
Pin,PTE24,,DISABLED,,,GPIOE_24,,TPM0_CH0,,I2C0_SCL,,,11,-,15,H4,20
Pin,PTE25,,DISABLED,,,GPIOE_25,,TPM0_CH1,,I2C0_SDA,,,12,-,16,H5,21
Pin,PTA5,,DISABLED,,,GPIOA_5,USB_CLKIN,TPM0_CH2,,,I2S0_TX_BCLK,,13,-,-,F5,27
Pin,PTA12,,DISABLED,,,GPIOA_12,,TPM1_CH0,,,I2S0_TXD0,,14,-,-,H6,28
Pin,PTA13,,DISABLED,,,GPIOA_13,,TPM1_CH1,,,I2S0_TX_FS,,15,-,-,G6,29
Pin,PTB2,,ADC0_SE12,,ADC0_SE12,GPIOB_2,I2C0_SCL,TPM2_CH0,,,,,16,-,29,E7,37
Pin,PTB3,,ADC0_SE13,,ADC0_SE13,GPIOB_3,I2C0_SDA,TPM2_CH1,,,,,17,-,30,E8,38
Pin,PTB16,,DISABLED,,,GPIOB_16,SPI1_MOSI,LPUART0_RX,TPM_CLKIN0,SPI1_MISO,,,18,-,31,E6,39
Pin,PTB17,,DISABLED,,,GPIOB_17,SPI1_MISO,LPUART0_TX,TPM_CLKIN1,SPI1_MOSI,,,19,-,32,D7,40
Pin,PTB18,,DISABLED,,,GPIOB_18,,TPM2_CH0,I2S0_TX_BCLK,,,,20,-,-,D6,41
Pin,PTB19,,DISABLED,,,GPIOB_19,,TPM2_CH1,I2S0_TX_FS,,,,21,-,-,C7,42
Pin,PTC0,,ADC0_SE14,,ADC0_SE14,GPIOC_0,,EXTRG_IN,audioUSB_SOF_OUT,CMP0_OUT,I2S0_TXD0,,22,-,33,D8,43
,VSS,,VSS,,,,,,,,,,23,-,-,E3,47
,VDD,,VDD,,,,,,,,,,24,-,-,E4,48
Pin,PTC8,,CMP0_IN2,,CMP0_IN2,GPIOC_8,I2C0_SCL,TPM0_CH4,I2S0_MCLK,,,,25,-,-,A6,53
Pin,PTC9,,CMP0_IN3,,CMP0_IN3,GPIOC_9,I2C0_SDA,TPM0_CH5,I2S0_RX_BCLK,,,,26,-,-,B5,54
Pin,PTC10,,DISABLED,,,GPIOC_10,I2C1_SCL,,I2S0_RX_FS,,,,27,-,-,B4,55
Pin,PTC11,,DISABLED,,,GPIOC_11,I2C1_SDA,,I2S0_RXD0,,,,28,-,-,A5,56
Pin,PTD0,,DISABLED,,,GPIOD_0,SPI0_SS,,TPM0_CH0,,FXIO0_D0,,29,-,41,C3,57
Pin,PTD1,,ADC0_SE5b,,ADC0_SE5b,GPIOD_1,SPI0_SCK,,TPM0_CH1,,FXIO0_D1,,30,-,42,A4,58
Pin,PTD2,,DISABLED,,,GPIOD_2,SPI0_MOSI,UART2_RX,TPM0_CH2,SPI0_MISO,FXIO0_D2,,31,-,43,C2,59
Pin,PTD3,,DISABLED,,,GPIOD_3,SPI0_MISO,UART2_TX,TPM0_CH3,SPI0_MOSI,FXIO0_D3,,32,-,44,B3,60
Pin,PTE0,,DISABLED,,,GPIOE_0/CLKOUT32K,SPI1_MISO,LPUART1_TX,RTC_CLKOUT,CMP0_OUT,I2C1_SDA,,33,1,-,A1,1
,VSS,,VSS,,,,,,,,,,34,2,2,C4,4
,USB0_DP,,USB0_DP,,,,,,,,,,35,3,3,E1,5
,USB0_DM,,USB0_DM,,,,,,,,,,36,4,4,D1,6
,VOUT33,,VOUT33,,,,,,,,,,37,5,5,E2,7
,VREGIN,,VREGIN,,,,,,,,,,38,6,6,D2,8
,VDDA,,VDDA,,,,,,,,,,39,7,9,F4,13
,VSSA,,VSSA,,,,,,,,,,40,8,12,F3,16
Pin,PTE30,,DAC0_OUT/ADC0_SE23/CMP0_IN4,,DAC0_OUT/ADC0_SE23/CMP0_IN4,GPIOE_30,,TPM0_CH3,TPM_CLKIN1,LPUART1_TX,LPTMR0_ALT1,,41,9,14,H2,18
Pin,PTA0,,SWD_CLK,,,GPIOA_0,,TPM0_CH5,,,,SWD_CLK,42,10,17,D3,22
Pin,PTA1,,DISABLED,,,GPIOA_1,LPUART0_RX,TPM2_CH0,,,,,43,11,18,D4,23
Pin,PTA2,,DISABLED,,,GPIOA_2,LPUART0_TX,TPM2_CH1,,,,,44,12,19,E5,24
Pin,PTA3,,SWD_DIO,,,GPIOA_3,I2C1_SCL,TPM0_CH0,,,,SWD_DIO,45,13,20,D5,25
Pin,PTA4,,NMI_b,,,GPIOA_4,I2C1_SDA,TPM0_CH1,,,,NMI_b,46,14,21,G5,26
,VDD,,VDD,,,,,,,,,,47,15,22,G7,30
,VSS,,VSS,,,,,,,,,,48,16,23,H7,31
Pin,PTA18,,EXTAL0,,EXTAL0,GPIOA_18,,LPUART1_RX,TPM_CLKIN0,,,,49,17,24,H8,32
Pin,PTA19,,XTAL0,,XTAL0,GPIOA_19,,LPUART1_TX,TPM_CLKIN1,,LPTMR0_ALT1,,50,18,25,G8,33
Pin,PTA20,,RESET_b,,,GPIOA_20,,,,,,RESET_b,51,19,26,F8,34
Pin,PTB0,,ADC0_SE8,,ADC0_SE8,GPIOB_0/LLWU_P5,I2C0_SCL,TPM1_CH0,,,,,52,20,27,F7,35
Pin,PTB1,,ADC0_SE9,,ADC0_SE9,GPIOB_1,I2C0_SDA,TPM1_CH1,,,,,53,21,28,F6,36
Pin,PTC1,,ADC0_SE15,,ADC0_SE15,GPIOC_1/LLWU_P6/RTC_CLKIN,I2C1_SCL,,TPM0_CH0,,I2S0_TXD0,,54,22,34,C6,44
