ID,Names,Aliases,Reset,Default,ALT0,ALT1,ALT2,ALT3,ALT4,ALT5,ALT6,ALT7,Seq,"64
LQFP","36
GA","32
QFN","48
QFN","64
BGA"
Pin,PTE17,,ADC0_DM1/ADC0_SE5a,,ADC0_DM1/ADC0_SE5a,GPIOE_17,SPI0_SCK,UART2_RX,TPM_CLKIN1,LPTMR0_ALT3,FXIO0_D1,,1,-,C1,-,-,-
Pin,PTE18,,ADC0_DP2/ADC0_SE2,,ADC0_DP2/ADC0_SE2,GPIOE_18,SPI0_MOSI,,I2C0_SDA,SPI0_MISO,FXIO0_D2,,2,-,D1,-,-,-
,VREF0,,VREF0_B,,VREF0_B,,,,,,,,3,-,F2,9,-,-
Pin,PTE0,,DISABLED,,,GPIOE_0/CLKOUT32K,SPI1_MISO,LPUART1_TX,RTC_CLKOUT,CMP0_OUT,I2C1_SDA,,4,1,A1,1,-,A1
Pin,PTE1,,DISABLED,,,GPIOE_1,SPI1_MOSI,LPUART1_RX,,SPI1_MISO,I2C1_SCL,,5,2,-,-,-,B1
,VDD,,VDD,,,,,,,,,,6,3,-,-,1,-
,VSS,,VSS,,,,,,,,,,7,4,C4,2,2,C4
,USB0_DP,,USB0_DP,,,,,,,,,,8,5,B1,3,3,E1
,USB0_DM,,USB0_DM,,,,,,,,,,9,6,D2,4,4,D1
,USB_VDD,,USB_VDD,,,,,,,,,,10,7,C3,5,5,E2
Pin,PTE16,A0,ADC0_DP1/ADC0_SE1,ADC0_DP1/ADC0_SE1,ADC0_DP1/ADC0_SE1,GPIOE_16,SPI0_PCS0,UART2_TX,TPM_CLKIN0,,FXIO0_D0,,11,8,C2,6,6,D2
Pin,PTE20,A2,ADC0_DP0/ADC0_SE0,ADC0_DP0/ADC0_SE0,ADC0_DP0/ADC0_SE0,GPIOE_20,,TPM1_CH0,LPUART0_TX,,FXIO0_D4,,12,9,E3,-,7,G1
Pin,PTE21,A3,ADC0_DM0/ADC0_SE4a,ADC0_DM0/ADC0_SE4a,ADC0_DM0/ADC0_SE4a,GPIOE_21,,TPM1_CH1,LPUART0_RX,,FXIO0_D5,,13,10,E2,-,8,F1
Pin,PTE22,,ADC0_DP3/ADC0_SE3,,ADC0_DP3/ADC0_SE3,GPIOE_22,,TPM2_CH0,UART2_TX,,FXIO0_D6,,14,11,E1,-,-,G2
Pin,PTE23,,ADC0_DM3/ADC0_SE7a,,ADC0_DM3/ADC0_SE7a,GPIOE_23,,TPM2_CH1,UART2_RX,,FXIO0_D7,,15,12,F1,-,-,F2
,VDDA,,VDDA,,,,,,,,,,16,13,D3,7,9,F4
,VREFH,,VREFH,,,,,,,,,,17,14,D3,7,10,G4
,VREFO,,VREFO_A,,,,,,,,,,18,14,-,-,10,G4
,VREFL,,VREFL,,,,,,,,,,19,15,D4,8,11,G3
,VSSA,,VSSA,,,,,,,,,,20,16,D4,8,12,F3
Pin,PTE29,,CMP0_IN5/ADC0_SE4b,,CMP0_IN5/ADC0_SE4b,GPIOE_29,,TPM0_CH2,TPM_CLKIN0,,,,21,17,-,-,13,H1
Pin,PTE30,,ADC0_SE23/CMP0_IN4,,ADC0_SE23/CMP0_IN4,GPIOE_30,,TPM0_CH3,TPM_CLKIN1,LPUART1_TX,LPTMR0_ALT1,,22,18,F2,9,14,H2
Pin,PTE31,D8,DISABLED,TPM0_CH4,,GPIOE_31,,TPM0_CH4,,,,,23,19,-,-,-,H3
Pin,PTE24,D5,DISABLED,TPM0_CH0,,GPIOE_24,,TPM0_CH0,,I2C0_SCL,,,24,20,-,-,15,H4
Pin,PTE25,D3,DISABLED,TPM0_CH1,,GPIOE_25,,TPM0_CH1,,I2C0_SDA,,,25,21,-,-,16,H5
Pin,PTA0,,SWD_CLK,,,GPIOA_0,,TPM0_CH5,,,,SWD_CLK,26,22,F3,10,17,D3
