Manual,KL43P64M48SF6RM,,,,,,,,,,,,,,,,
Devices,MKL43Z128xxx4,MKL43Z256xxx4,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Key,Pin,Alias MKL43Z4,Alias FRDM_KL43Z,Reset,Default,ALT0,ALT1,ALT2,ALT3,ALT4,ALT5,ALT6,ALT7,EzPort,64-BGA,64-LQFP,Seq#
Pin,PTE0,,D14,DISABLED,I2C1_SDA,LCD_P48,GPIOE_0/CLKOUT32K,SPI1_MISO,LPUART1_TX,RTC_CLKOUT,CMP0_OUT,I2C1_SDA,LCD_P48_fault,,A1,1,1
Pin,PTE1,,D15,DISABLED,I2C1_SCL,LCD_P49,GPIOE_1,SPI1_MOSI,LPUART1_RX,,SPI1_MISO,I2C1_SCL,LCD_P49_fault,,B1,2,2
,VDD,,,VDD,,,,,,,,,,,-,3,3
,VSS,,,VSS,,,,,,,,,,,C4,4,4
,USB0_DP,,,USB0_DP,,,,,,,,,,,E1,5,5
,USB0_DM,,,USB0_DM,,,,,,,,,,,D1,6,6
,VOUT33,,,VOUT33,,,,,,,,,,,E2,7,7
,VREGIN,,,VREGIN,,,,,,,,,,,D2,8,8
Pin,PTE20,,,ADC0_DP0/ADC0_SE0,,LCD_P59/ADC0_DP0/ADC0_SE0,GPIOE_20,,TPM1_CH0,LPUART0_TX,,FXIO0_D4,LCD_P59_fault,,G1,9,9
Pin,PTE21,,,ADC0_DM0/ADC0_SE4a,,LCD_P60/ADC0_DM0/ADC0_SE4a,GPIOE_21,,TPM1_CH1,LPUART0_RX,,FXIO0_D5,LCD_P60_fault,,F1,10,10
Pin,PTE22,,LIGHT_SENS,ADC0_DP3/ADC0_SE3,,ADC0_DP3/ADC0_SE3,GPIOE_22,,TPM2_CH0,UART2_TX,,FXIO0_D6,,,G2,11,11
Pin,PTE23,,,ADC0_DM3/ADC0_SE7a,,ADC0_DM3/ADC0_SE7a,GPIOE_23,,TPM2_CH1,UART2_RX,,FXIO0_D7,,,F2,12,12
,VDDA,,,VDDA,,,,,,,,,,,F4,13,13
,VREFH,,,VREFH,,,,,,,,,,,G4,14,14
,VREFL,,,VREFL,,,,,,,,,,,G3,15,15
,VSSA,,,VSSA,,,,,,,,,,,F3,16,16
Pin,PTE29,,D6,CMP0_IN5/ADC0_SE4b,TPM0_CH2,CMP0_IN5/ADC0_SE4b,GPIOE_29,,TPM0_CH2,TPM_CLKIN0,,,,,H1,17,17
Pin,PTE30,,D7,DAC0_OUT/ADC0_SE23/CMP0_IN4,GPIOE_30,DAC0_OUT/ADC0_SE23/CMP0_IN4,GPIOE_30,,TPM0_CH3,TPM_CLKIN1,LPUART1_TX,LPTMR0_ALT1,,,H2,18,18
Pin,PTE31,,LED_RED,DISABLED,GPIOE_31,,GPIOE_31,,TPM0_CH4,,,,,,H3,19,19
Pin,PTE24,,ONBOARD_SCL,DISABLED,I2C0_SCL,,GPIOE_24,,TPM0_CH0,,I2C0_SCL,,,,H4,20,20
Pin,PTE25,,ONBOARD_SDA,DISABLED,I2C0_SDA,,GPIOE_25,,TPM0_CH1,,I2C0_SDA,,,,H5,21,21
Pin,PTA0,,,SWD_CLK,,,GPIOA_0,,TPM0_CH5,,,,SWD_CLK,,D3,22,22
Pin,PTA1,,D0,DISABLED,LPUART0_RX,,GPIOA_1,LPUART0_RX,TPM2_CH0,,,,,,D4,23,23
Pin,PTA2,,D1,DISABLED,LPUART0_TX,,GPIOA_2,LPUART0_TX,TPM2_CH1,,,,,,E5,24,24
Pin,PTA3,,,SWD_DIO,,,GPIOA_3,I2C1_SCL,TPM0_CH0,,,,SWD_DIO,,D5,25,25
Pin,PTA4,,D4,NMI_b,TPM0_CH1,,GPIOA_4,I2C1_SDA,TPM0_CH1,,,,NMI_b,,G5,26,26
Pin,PTA5,,D5,DISABLED,GPIOA_5,,GPIOA_5,USB_CLKIN,TPM0_CH2,,,I2S0_TX_BCLK,,,F5,27,27
Pin,PTA12,,D3,DISABLED,TPM1_CH0,,GPIOA_12,,TPM1_CH0,,,I2S0_TXD0,,,H6,28,28
Pin,PTA13,,D8,DISABLED,TPM1_CH1,,GPIOA_13,,TPM1_CH1,,,I2S0_TX_FS,,,G6,29,29
,VDD,,,VDD,,,,,,,,,,,G7,30,30
,VSS,,,VSS,,,,,,,,,,,H7,31,31
Pin,PTA18,,,EXTAL0,,EXTAL0,GPIOA_18,,LPUART1_RX,TPM_CLKIN0,,,,,H8,32,32
Pin,PTA19,,,XTAL0,,XTAL0,GPIOA_19,,LPUART1_TX,TPM_CLKIN1,,LPTMR0_ALT1,,,G8,33,33
Pin,PTA20,,,RESET_b,,,GPIOA_20,,,,,,RESET_b,,F8,34,34
