Manual,KL46P121M48SF4RM,,,,,,,,,,,,,,
Devices,MKL46Z128xxx4,MKL46Z256xxx4,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Key,Pin,Alias MKL46Z4-LQFP100,Alias MKL46Z4-FRDM,Reset,Default,ALT0,ALT1,ALT2,ALT3,ALT4,ALT5,ALT6,ALT7,Seq,LQFP-100
Pin,PTE0,,D14,Disabled,GPIOE_0,LCD_P48,GPIOE_0,SPI1_MISO,UART1_TX,RTC_CLKOUT,CMP0_OUT,I2C1_SDA,LCD_P48_fault,PTE0,1
Pin,PTE1,,D15,Disabled,GPIOE_1,LCD_P49,GPIOE_1,SPI1_MOSI,UART1_RX,,SPI1_MISO,I2C1_SCL,LCD_P49_fault,PTE1,2
Pin,PTE2,,,Disabled,,LCD_P50,GPIOE_2,SPI1_SCK,,,,,LCD_P50_fault,PTE2,3
Pin,PTE3,,,Disabled,,LCD_P51,GPIOE_3,SPI1_MISO,,,SPI1_MOSI,,LCD_P51_fault,PTE3,4
Pin,PTE4,,,Disabled,,LCD_P52,GPIOE_4,SPI1_PCS0,,,,,LCD_P52_fault,PTE4,5
Pin,PTE5,,,Disabled,,LCD_P53,GPIOE_5,,,,,,LCD_P53_fault,PTE5,6
Pin,PTE6,,,Disabled,,LCD_P54,GPIOE_6,,,I2S0_MCLK,USB_SOF_OUT,,LCD_P54_fault,PTE6,7
,VDD,,,,,VDD,,,,,,,,VDD,8
,VSS,,,,,VSS,,,,,,,,VSS,9
,USB_DP,,,,,USB_DP,,,,,,,,USB_DP,10
,USB_DM,,,,,USB_DM,,,,,,,,USB_DM,11
,VOUT33,,,,,VOUT33,,,,,,,,VOUT33,12
,VREGIN,,,,,VREGIN,,,,,,,,VREGIN,13
Pin,PTE16,,,LCD_P55/ADC0_DP1/ADC0_SE1,,LCD_P55/ADC0_DP1/ADC0_SE1,GPIOE_16,SPI0_PCS0,UART2_TX,TPM_CLKIN0,,,LCD_P55_fault,PTE16,14
Pin,PTE17,,,LCD_P56/ADC0_DM1/ADC0_SE5a,,LCD_P56/ADC0_DM1/ADC0_SE5a,GPIOE_17,SPI0_SCK,UART2_RX,TPM_CLKIN1,,LPTMR0_ALT3,LCD_P56_fault,PTE17,15
Pin,PTE18,,,LCD_P57/ADC0_DP2/ADC0_SE2,,LCD_P57/ADC0_DP2/ADC0_SE2,GPIOE_18,SPI0_MOSI,,I2C0_SDA,SPI0_MISO,,LCD_P57_fault,PTE18,16
Pin,PTE19,,,LCD_P58/ADC0_DM2/ADC0_SE6a,,LCD_P58/ADC0_DM2/ADC0_SE6a,GPIOE_19,SPI0_MISO,,I2C0_SCL,SPI0_MOSI,,LCD_P58_fault,PTE19,17
Pin,PTE20,,,LCD_P59/ADC0_DP0/ADC0_SE0,,LCD_P59/ADC0_DP0/ADC0_SE0,GPIOE_20,,TPM1_CH0,UART0_TX,,,LCD_P59_fault,PTE20,18
Pin,PTE21,,,LCD_P60/ADC0_DM0/ADC0_SE4a,,LCD_P60/ADC0_DM0/ADC0_SE4a,GPIOE_21,,TPM1_CH1,UART0_RX,,,LCD_P60_fault,PTE21,19
Pin,PTE22,,LIGHT_SENS,ADC0_DP3/ADC0_SE3,ADC0_DP3/ADC0_SE3,ADC0_DP3/ADC0_SE3,GPIOE_22,,TPM2_CH0,UART2_TX,,,,PTE22,20
Pin,PTE23,,,ADC0_DM3/ADC0_SE7a,,ADC0_DM3/ADC0_SE7a,GPIOE_23,,TPM2_CH1,UART2_RX,,,,PTE23,21
,VDDA,,,,,VDDA,,,,,,,,VDDA,22
,VREFH,,,,,VREFH,,,,,,,,VREFH,23
,VREFL,,,,,VREFL,,,,,,,,VREFL,24
,VSSA,,,,,VSSA,,,,,,,,VSSA,25
Pin,PTE29,,LED_RED,CMP0_IN5/ADC0_SE4b,TPM0_CH2,CMP0_IN5/ADC0_SE4b,GPIOE_29,,TPM0_CH2,TPM_CLKIN0,,,,PTE29,26
Pin,PTE30,,,DAC0_OUT/ADC0_SE23/CMP0_IN4,,DAC0_OUT/ADC0_SE23/CMP0_IN4,GPIOE_30,,TPM0_CH3,TPM_CLKIN1,,,,PTE30,27
Pin,PTE31,,,Disabled,,,GPIOE_31,,TPM0_CH4,,,,,PTE31,28
,VSS,,,,,VSS,,,,,,,,VSS,29
,VDD,,,,,VDD,,,,,,,,VDD,30
Pin,PTE24,,MAG_SCL/ACC_SCL,Disabled,I2C0_SCL,,GPIOE_24,,TPM0_CH0,,I2C0_SCL,,,PTE24,31
Pin,PTE25,,MAG_SDA/ACC_SDA,Disabled,I2C0_SDA,,GPIOE_25,,TPM0_CH1,,I2C0_SDA,,,PTE25,32
Pin,PTE26,,,Disabled,,,GPIOE_26,,TPM0_CH5,,,RTC_CLKOUT,USB_CLKIN,PTE26,33
Pin,PTA0,,,SWD_CLK,,TSI0_CH1,GPIOA_0,,TPM0_CH5,,,,SWD_CLK,PTA0,34
Pin,PTA1,,D0,,GPIOA_1,TSI0_CH2,GPIOA_1,UART0_RX,TPM2_CH0,,,,,PTA1,35
Pin,PTA2,,D1,,GPIOA_2,TSI0_CH3,GPIOA_2,UART0_TX,TPM2_CH1,,,,,PTA2,36
Pin,PTA3,,,SWD_DIO,,TSI0_CH4,GPIOA_3,I2C1_SCL,TPM0_CH0,,,,SWD_DIO,PTA3,37
Pin,PTA4,,D4,NMI_b,GPIOA_4,TSI0_CH5,GPIOA_4,I2C1_SDA,TPM0_CH1,,,,NMI_b,PTA4,38
Pin,PTA5,,D5,Disabled,GPIOA_5,,GPIOA_5,USB_CLKIN,TPM0_CH2,,,I2S0_TX_BCLK,,PTA5,39
,VDD,,,,,VDD,,,,,,,,VDD,40
,VSS,,,,,VSS,,,,,,,,VSS,41
Pin,PTA6,,,Disabled,,,GPIOA_6,,TPM0_CH3,,,,,PTA6,42
Pin,PTA7,,,Disabled,,,GPIOA_7,,TPM0_CH4,,,,,PTA7,43
Pin,PTA12,,D3,Disabled,GPIOA_12,,GPIOA_12,,TPM1_CH0,,,I2S0_TXD0,,PTA12,44
Pin,PTA13,,D8,Disabled,GPIOA_13,,GPIOA_13,,TPM1_CH1,,,I2S0_TX_FS,,PTA13,45
Pin,PTA14,,,Disabled,,,GPIOA_14,SPI0_PCS0,UART0_TX,,,I2S0_RX_BCLK,I2S0_TXD0,PTA14,46
Pin,PTA15,,,Disabled,,,GPIOA_15,SPI0_SCK,UART0_RX,,,I2S0_RXD0,,PTA15,47
Pin,PTA16,,,Disabled,,,GPIOA_16,SPI0_MOSI,,,SPI0_MISO,I2S0_RX_FS,I2S0_RXD0,PTA16,48
Pin,PTA17,,,Disabled,,,GPIOA_17,SPI0_MISO,,,SPI0_MOSI,I2S0_MCLK,,PTA17,49
Pin,PTA18,,,EXTAL0,,EXTAL0,GPIOA_18,,UART1_RX,TPM_CLKIN0,,,,PTA18,50
Pin,PTA19,,,XTAL0,,XTAL0,GPIOA_19,,UART1_TX,TPM_CLKIN1,,LPTMR0_ALT1,,PTA19,51
Pin,PTA20,,,RESET_b,,RESET_b,GPIOA_20,,,,,,RESET_b,PTA20,52
Pin,PTB0,,A0,LCD_P0/ADC0_SE8/TSI0_CH0,LCD_P0/ADC0_SE8/TSI0_CH0,LCD_P0/ADC0_SE8/TSI0_CH0,GPIOB_0/LLWU_P5,I2C0_SCL,TPM1_CH0,,,,LCD_P0_fault,PTB0,53
Pin,PTB1,,A1,LCD_P1/ADC0_SE9/TSI0_CH6,LCD_P1/ADC0_SE9/TSI0_CH6,LCD_P1/ADC0_SE9/TSI0_CH6,GPIOB_1,I2C0_SDA,TPM1_CH1,,,,LCD_P1_fault,PTB1,54
Pin,PTB2,,A2,LCD_P2/ADC0_SE12/TSI0_CH7,LCD_P2/ADC0_SE12/TSI0_CH7,LCD_P2/ADC0_SE12/TSI0_CH7,GPIOB_2,I2C0_SCL,TPM2_CH0,,,,LCD_P2_fault,PTB2,55
Pin,PTB3,,A3,LCD_P3/ADC0_SE13/TSI0_CH8,LCD_P3/ADC0_SE13/TSI0_CH8,LCD_P3/ADC0_SE13/TSI0_CH8,GPIOB_3,I2C0_SDA,TPM2_CH1,,,,LCD_P3_fault,PTB3,56
Pin,PTB7,,,LCD_P7,,LCD_P7,GPIOB_7,,,,,,LCD_P7_fault,PTB7,57
Pin,PTB8,,,LCD_P8,,LCD_P8,GPIOB_8,SPI1_PCS0,EXTRG_IN,,,,LCD_P8_fault,PTB8,58
Pin,PTB9,,,LCD_P9,,LCD_P9,GPIOB_9,SPI1_SCK,,,,,LCD_P9_fault,PTB9,59
Pin,PTB10,,,LCD_P10,,LCD_P10,GPIOB_10,SPI1_PCS0,,,,,LCD_P10_fault,PTB10,60
Pin,PTB11,,,LCD_P11,,LCD_P11,GPIOB_11,SPI1_SCK,,,,,LCD_P11_fault,PTB11,61
Pin,PTB16,,,LCD_P12/TSI0_CH9,,LCD_P12/TSI0_CH9,GPIOB_16,SPI1_MOSI,UART0_RX,TPM_CLKIN0,SPI1_MISO,,LCD_P12_fault,PTB16,62
Pin,PTB17,,,LCD_P13/TSI0_CH10,,LCD_P13/TSI0_CH10,GPIOB_17,SPI1_MISO,UART0_TX,TPM_CLKIN1,SPI1_MOSI,,LCD_P13_fault,PTB17,63
Pin,PTB18,,,LCD_P14/TSI0_CH11,,LCD_P14/TSI0_CH11,GPIOB_18,,TPM2_CH0,I2S0_TX_BCLK,,,LCD_P14_fault,PTB18,64
Pin,PTB19,,,LCD_P15/TSI0_CH12,,LCD_P15/TSI0_CH12,GPIOB_19,,TPM2_CH1,I2S0_TX_FS,,,LCD_P15_fault,PTB19,65
Pin,PTB20,,,LCD_P16,,LCD_P16,GPIOB_20,,,,,CMP0_OUT,LCD_P16_fault,PTB20,66
Pin,PTB21,,,LCD_P17,,LCD_P17,GPIOB_21,,,,,,LCD_P17_fault,PTB21,67
Pin,PTB22,,,LCD_P18,,LCD_P18,GPIOB_22,,,,,,LCD_P18_fault,PTB22,68
Pin,PTB23,,,LCD_P19,,LCD_P19,GPIOB_23,,,,,,LCD_P19_fault,PTB23,69
Pin,PTC0,,,LCD_P20/ADC0_SE14/TSI0_CH13,,LCD_P20/ADC0_SE14/TSI0_CH13,GPIOC_0,,EXTRG_IN,USB_SOF_OUT,CMP0_OUT,I2S0_TXD0,LCD_P20_fault,PTC0,70
Pin,PTC1,,A5,LCD_P21/ADC0_SE15/TSI0_CH14,LCD_P21/ADC0_SE15/TSI0_CH14,LCD_P21/ADC0_SE15/TSI0_CH14,GPIOC_1/LLWU_P6/RTC_CLKIN,I2C1_SCL,,TPM0_CH0,,I2S0_TXD0,LCD_P21_fault,PTC1,71
Pin,PTC2,,A4,LCD_P22/ADC0_SE11/TSI0_CH15,LCD_P22/ADC0_SE11/TSI0_CH15,LCD_P22/ADC0_SE11/TSI0_CH15,GPIOC_2,I2C1_SDA,,TPM0_CH1,,I2S0_TX_FS,LCD_P22_fault,PTC2,72
Pin,PTC3,,,LCD_P23,,LCD_P23,GPIOC_3/LLWU_P7,,UART1_RX,TPM0_CH2,CLKOUT,I2S0_TX_BCLK,LCD_P23_fault,PTC3,73
,VSS,,,,,VSS,,,,,,,,VSS,74
,VLL3,,,,,VLL3,,,,,,,,VLL3,75
,VLL2,,,,,VLL2/LCD_P4,GPIOC_20,,,,,,LCD_P4_fault,VLL2,76
,VLL1,,,,,VLL1/LCD_P5,GPIOC_21,,,,,,LCD_P5_fault,VLL1,77
,VCAP2,,,,,VCAP2/LCD_P6,GPIOC_22,,,,,,LCD_P6_fault,VCAP2,78
,VCAP1,,,,,VCAP1/LCD_P39,GPIOC_23,,,,,,LCD_P39_fault,VCAP1,79
Pin,PTC4,,,LCD_P24,,LCD_P24,GPIOC_4/LLWU_P8,SPI0_PCS0,UART1_TX,TPM0_CH3,I2S0_MCLK,,LCD_P24_fault,PTC4,80
Pin,PTC5,,ACC_INT1,LCD_P25,GPIOC_5/LLWU_P9,LCD_P25,GPIOC_5/LLWU_P9,SPI0_SCK,LPTMR0_ALT2,I2S0_RXD0,,CMP0_OUT,LCD_P25_fault,PTC5,81
Pin,PTC6,,,LCD_P26/CMP0_IN0,,LCD_P26/CMP0_IN0,GPIOC_6/LLWU_P10,SPI0_MOSI,EXTRG_IN,I2S0_RX_BCLK,SPI0_MISO,I2S0_MCLK,LCD_P26_fault,PTC6,82
Pin,PTC7,,,LCD_P27/CMP0_IN1,,LCD_P27/CMP0_IN1,GPIOC_7,SPI0_MISO,USB_SOF_OUT,I2S0_RX_FS,SPI0_MOSI,,LCD_P27_fault,PTC7,83
Pin,PTC8,,D6,LCD_P28/CMP0_IN2,GPIOC_8,LCD_P28/CMP0_IN2,GPIOC_8,I2C0_SCL,TPM0_CH4,I2S0_MCLK,,,LCD_P28_fault,PTC8,84
Pin,PTC9,,D7,LCD_P29/CMP0_IN3,GPIOC_9,LCD_P29/CMP0_IN3,GPIOC_9,I2C0_SDA,TPM0_CH5,I2S0_RX_BCLK,,,LCD_P29_fault,PTC9,85
Pin,PTC10,,,LCD_P30,,LCD_P30,GPIOC_10,I2C1_SCL,,I2S0_RX_FS,,,LCD_P30_fault,PTC10,86
Pin,PTC11,,,LCD_P31,,LCD_P31,GPIOC_11,I2C1_SDA,,I2S0_RXD0,,,LCD_P31_fault,PTC11,87
Pin,PTC12,,,LCD_P32,,LCD_P32,GPIOC_12,,,TPM_CLKIN0,,,LCD_P32_fault,PTC12,88
Pin,PTC13,,,LCD_P33,,LCD_P33,GPIOC_13,,,TPM_CLKIN1,,,LCD_P33_fault,PTC13,89
Pin,PTC16,,,LCD_P36,,LCD_P36,GPIOC_16,,,,,,LCD_P36_fault,PTC16,90
Pin,PTC17,,,LCD_P37,,LCD_P37,GPIOC_17,,,,,,LCD_P37_fault,PTC17,91
Pin,PTC18,,,LCD_P38,,LCD_P38,GPIOC_18,,,,,,LCD_P38_fault,PTC18,92
Pin,PTD0,,,LCD_P40,,LCD_P40,GPIOD_0,SPI0_PCS0,,TPM0_CH0,,,LCD_P40_fault,PTD0,93
Pin,PTD1,,MAG_INT/ACC_INT2/LED_BLUE,LCD_P41/ADC0_SE5b,TPM0_CH1,LCD_P41/ADC0_SE5b,GPIOD_1,SPI0_SCK,,TPM0_CH1,,,LCD_P41_fault,PTD1,94
Pin,PTD2,,D9,LCD_P42,GPIOD_2,LCD_P42,GPIOD_2,SPI0_MOSI,UART2_RX,TPM0_CH2,SPI0_MISO,,LCD_P42_fault,PTD2,95
Pin,PTD3,,D2,LCD_P43,GPIOD_3,LCD_P43,GPIOD_3,SPI0_MISO,UART2_TX,TPM0_CH3,SPI0_MOSI,,LCD_P43_fault,PTD3,96
Pin,PTD4,,D10,LCD_P44,GPIOD_4/LLWU_P14,LCD_P44,GPIOD_4/LLWU_P14,SPI1_PCS0,UART2_RX,TPM0_CH4,,,LCD_P44_fault,PTD4,97
Pin,PTD5,,D13/LED_GREEN,LCD_P45/ADC0_SE6b,TPM0_CH5,LCD_P45/ADC0_SE6b,GPIOD_5,SPI1_SCK,UART2_TX,TPM0_CH5,,,LCD_P45_fault,PTD5,98
Pin,PTD6,,D11,LCD_P46/ADC0_SE7b,GPIOD_6/LLWU_P15,LCD_P46/ADC0_SE7b,GPIOD_6/LLWU_P15,SPI1_MOSI,UART0_RX,,SPI1_MISO,,LCD_P46_fault,PTD6,99
Pin,PTD7,,D12,LCD_P47,GPIOD_7,LCD_P47,GPIOD_7,SPI1_MISO,UART0_TX,,SPI1_MOSI,,LCD_P47_fault,PTD7,100
,,,,,,,,,,,,,,,
,Peripheral,Clock register,Clock mask (defaults to name),Irq number,Irq number,Irq number,,,,,,,,,
Peripheral,I2C0,SIM->SCGC4,,I2C0_IRQn,,,,,,,,,,,
Peripheral,I2C1,SIM->SCGC4,,I2C1_IRQn,,,,,,,,,,,
