Device,MKM33Z5-LQFP100,MKMxxZxxCxx5RM,LQFP-100,,,,,,,,,,,
Device,MKM33Z5-Demo,MKMxxZxxCxx5RM,Demo,,,,,,,,,,,
,MKM33Z128xxx5,,,,,,,,,,,,,
,MKM33Z64xxx5,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Key,Name,Pkg LQFP-100,Pkg Demo,Reset,Default,ALT0,ALT1,ALT2,ALT3,ALT4,ALT5,ALT6,ALT7,LQFP-100
Pin,PTA0,p1,LED_RED,LCD23,GPIOA_0,LCD23,GPIOA_0,,,,,,,1
Pin,PTA1,p2,LED_GREEN,LCD24,GPIOA_1,LCD24,GPIOA_1,,,,,,,2
Pin,PTA2,p3,,LCD25,,LCD25,GPIOA_2,,,,,,,3
Pin,PTA3,p4,,LCD26,,LCD26,GPIOA_3,,,,,,,4
Pin,PTA4,p5,,NMI_B,,LCD27,GPIOA_4,LLWU_P15,,,,,NMI_B,5
Pin,PTA5,p6,,LCD28,,LCD28,GPIOA_5,CMP0OUT,,,,,,6
Pin,PTA6,p7,,LCD29,,LCD29,GPIOA_6,PXBAR_IN0,LLWU_P14,,,,,7
Pin,PTA7,p8,,LCD30,,LCD30,GPIOA_7,PXBAR_OUT0,,,,,,8
Pin,PTB0,p9,,LCD31,,LCD31,GPIOB_0,,,,,,,9
,VDD,p10,,VDD,,,,,,,,,,10
,VSS,p11,,VSS,,,,,,,,,,11
Pin,PTB1,p12,,LCD32,,LCD32,GPIOB_1,,,,,,,12
Pin,PTB2,p13,,LCD33,,LCD33,GPIOB_2,,,,,,,13
Pin,PTB3,p14,,LCD34,,LCD34,GPIOB_3,,,,,,,14
Pin,PTB4,p15,,LCD35,,LCD35,GPIOB_4,,,,,,,15
Pin,PTB5,p16,,LCD36,,LCD36,GPIOB_5,,,,,,,16
Pin,PTB6,p17,,LCD37/CMP1P0,,LCD37/CMP1P0,GPIOB_6,,,,,,,17
Pin,PTB7,p18,,LCD38,,LCD38,GPIOB_7,AFE_CLK,,,,,,18
Pin,PTC0,p19,,LCD39,,LCD39,GPIOC_0,SCI3_RTS,PXBAR_IN1,,,,,19
Pin,PTC1,p20,,LCD40/CMP1P1,,LCD40/CMP1P1,GPIOC_1,SCI3_CTS,,,,,,20
Pin,PTC2,p21,,LCD41,,LCD41,GPIOC_2,SCI3_TxD,PXBAR_OUT1,,,,,21
Pin,PTC3,p22,,LCD42/CMP0P3,,LCD42/CMP0P3,GPIOC_3,SCI3_RxD,LLWU_P13,,,,,22
Pin,PTC4,p23,,LCD43,,LCD43,GPIOC_4,,,,,,,23
,VBAT,p24,,VBAT,,,,,,,,,,24
Pin,XTAL32K,p25,,XTAL32K,,,,,,,,,,25
Pin,EXTAL32K,p26,,EXTAL32K,,,,,,,,,,26
,VSS,p27,,VSS,,,,,,,,,,27
,,p28,,TAMPER2,,,,,,,,,,28
,,p29,,TAMPER1,,,,,,,,,,29
,WKUP,p30,,WKUP,,,,,,,,,,30
,VDDA,p31,,VDDA,,,,,,,,,,31
,VSSA,p32,,VSSA,,,,,,,,,,32
Pin,SDADP0,p33,,SDADP0,,,,,,,,,,33
Pin,SDADM0,p34,,SDADM0,,,,,,,,,,34
Pin,SDADP1,p35,,SDADP1,,,,,,,,,,35
Pin,SDADM1,p36,,SDADM1,,,,,,,,,,36
,VREFH,p37,,VREFH,,,,,,,,,,37
,VREFL,p38,,VREFL,,,,,,,,,,38
Pin,SDADP2,p39,,SDADP2/CMP1P2,,,,,,,,,,39
Pin,SDADM2,p40,,SDADM2/CMP1P3,,,,,,,,,,40
,VREF,p41,,VREF,,,,,,,,,,41
Pin,SDADP3,p42,,SDADP3/CMP1P4,,,,,,,,,,42
Pin,SDADM3,p43,,SDADM3/CMP1P5,,,,,,,,,,43
Pin,PTC5,p44,,ADC0_SE0,,ADC0_SE0,GPIOC_5,SCI0_RTS,LLWU_P12,,,,,44
Pin,PTC6,p45,,ADC0_SE1,,ADC0_SE1,GPIOC_6,SCI0_CTS,QT1,,,,,45
Pin,PTC7,p46,,ADC0_SE2,,ADC0_SE2,GPIOC_7,SCI0_TxD,PXBAR_OUT2,,,,,46
Pin,PTD0,p47,,CMP0P0,,CMP0P0,GPIOD_0,SCI0_RxD,PXBAR_IN2,LLWU_P11,,,,47
Pin,PTD1,p48,LED_BLUE,Disabled,GPIOD_1,,GPIOD_1,SCI1_TxD,SPI0_SS_B,PXBAR_OUT3,QT3,,,48
Pin,PTD2,p49,,CMP0P1,,CMP0P1,GPIOD_2,SCI1_RxD,SPI0_SCK,PXBAR_IN3,LLWU_P10,,,49
Pin,PTD3,p50,,Disabled,,,GPIOD_3,SCI1_CTS,SPI0_MOSI,,,,,50
Pin,PTD4,p51,,ADC0_SE3,,ADC0_SE3,GPIOD_4,SCI1_RTS,SPI0_MISO,LLWU_P9,,,,51
Pin,PTD5,p52,,ADC0_SE4,,ADC0_SE4,GPIOD_5,LPTMR_ALT2,QT0,SCI3_CTS,,,,52
Pin,PTD6,p53,,ADC0_SE5,,ADC0_SE5,GPIOD_6,LPTMR_ALT1,CMP1OUT,SCI3_RTS,LLWU_P8,,,53
Pin,PTD7,p54,,CMP0P4,,CMP0P4,GPIOD_7,I2C0_SCL,PXBAR_IN4,SCI3_RxD,LLWU_P7,,,54
Pin,PTE0,p55,,Disabled,,,GPIOE_0,I2C0_SDA,PXBAR_OUT4,SCI3_TxD,CLKOUT,,,55
Pin,PTE1,p56,,RESET_B,,,GPIOE_1,,,,,,RESET_B,56
Pin,PTE2,p57,,EXTAL1,,EXTAL1,GPIOE_2,EWM_IN,PXBAR_IN6,I2C1_SDA,,,,57
Pin,PTE3,p58,,XTAL1,,XTAL1,GPIOE_3,EWM_OUT,AFE_CLK,I2C1_SCL,,,,58
,VSS,p59,,VSS,,,,,,,,,,59
,SAR_VSSA,p60,,SAR_VSSA,,,,,,,,,,60
,SAR_VDDA,p61,,SAR_VDDA,,,,,,,,,,61
,VDD,p62,,VDD,,,,,,,,,,62
Pin,PTE4,p63,,Disabled,,,GPIOE_4,LPTMR_ALT0,SCI2_CTS,EWM_IN,,,,63
Pin,PTE5,p64,,Disabled,,,GPIOE_5,QT3,SCI2_RTS,EWM_OUT,LLWU_P6,,,64
Pin,PTE6,p65,,SWD_IO,,CMP0P2,GPIOE_6,PXBAR_IN5,SCI2_RxD,LLWU_P5,I2C0_SCL,,SWD_IO,65
Pin,PTE7,p66,,SWD_CLK,,ADC0_SE6,GPIOE_7,PXBAR_OUT5,SCI2_TxD,,I2C0_SDA,,SWD_CLK,66
Pin,PTF0,p67,,ADC0_SE7,,ADC0_SE7,GPIOF_0,RTCCLKOUT,QT2,CMP0OUT,LLWU_P4,,,67
Pin,PTF1,p68,,LCD0/ADC0_SE8,,LCD0/ADC0_SE8,GPIOF_1,QT0,PXBAR_OUT6,,,,,68
Pin,PTF2,p69,,LCD1/ADC0_SE9,,LCD1/ADC0_SE9,GPIOF_2,CMP1OUT,RTCCLKOUT,,,,,69
Pin,PTF3,p70,,LCD2,,LCD2,GPIOF_3,SPI1_SS_B,LPTMR_ALT1,SCI0_RxD,,,,70
Pin,PTF4,p71,,LCD3,,LCD3,GPIOF_4,SPI1_SCK,LPTMR_ALT0,SCI0_TxD,,,,71
Pin,PTF5,p72,,LCD4,,LCD4,GPIOF_5,SPI1_MISO,I2C1_SCL,,,,,72
Pin,PTF6,p73,,LCD5,,LCD5,GPIOF_6,SPI1_MOSI,I2C1_SDA,LLWU_P3,,,,73
Pin,PTF7,p74,,LCD6,,LCD6,GPIOF_7,QT2,CLKOUT,,,,,74
Pin,PTG0,p75,,LCD7,,LCD7,GPIOG_0,QT1,LPTMR_ALT2,,,,,75
Pin,PTG1,p76,,LCD8/ADC0_SE10,,LCD8/ADC0_SE10,GPIOG_1,LLWU_P2,LPTMR_ALT0,,,,,76
Pin,PTG2,p77,,LCD9/ADC0_SE11,,LCD9/ADC0_SE11,GPIOG_2,SPI0_SS_B,LLWU_P1,,,,,77
Pin,PTG3,p78,,LCD10,,LCD10,GPIOG_3,SPI0_SCK,I2C0_SCL,,,,,78
Pin,PTG4,p79,,LCD11,,LCD11,GPIOG_4,SPI0_MOSI,I2C0_SDA,,,,,79
Pin,PTG5,p80,,LCD12,,LCD12,GPIOG_5,SPI0_MISO,LPTMR_ALT1,,,,,80
Pin,PTG6,p81,,LCD13,,LCD13,GPIOG_6,LLWU_P0,LPTMR_ALT2,,,,,81
Pin,PTG7,p82,,LCD14,,LCD14,GPIOG_7,,,,,,,82
Pin,PTH0,p83,,LCD15,,LCD15,GPIOH_0,,,,,,,83
Pin,PTH1,p84,,LCD16,,LCD16,GPIOH_1,,,,,,,84
Pin,PTH2,p85,,LCD17,,LCD17,GPIOH_2,,,,,,,85
Pin,PTH3,p86,,LCD18,,LCD18,GPIOH_3,,,,,,,86
Pin,PTH4,p87,,LCD19,,LCD19,GPIOH_4,,,,,,,87
Pin,PTH5,p88,,LCD20,,LCD20,GPIOH_5,,,,,,,88
Pin,PTH6,p89,,Disabled,,,GPIOH_6,SCI1_CTS,SPI1_SS_B,PXBAR_IN7,,,,89
Pin,PTH7,p90,,Disabled,,,GPIOH_7,SCI1_RTS,SPI1_SCK,PXBAR_OUT7,,,,90
Pin,PTI0,p91,,CMP0P5,,CMP0P5,GPIOI_0,SCI1_RxD,PXBAR_IN8,SPI1_MISO,SPI1_MOSI,,,91
Pin,PTI1,p92,,Disabled,,,GPIOI_1,SCI1_TxD,PXBAR_OUT8,SPI1_MOSI,SPI1_MISO,,,92
Pin,PTI2,p93,,LCD21,,LCD21,GPIOI_2,,,,,,,93
Pin,PTI3,p94,,LCD22,,LCD22,GPIOI_3,,,,,,,94
,VSS,p95,,VSS,,,,,,,,,,95
,VLL3,p96,,VLL3,,,,,,,,,,96
,VLL2,p97,,VLL2,,,,,,,,,,97
,VLL1,p98,,VLL1,,,,,,,,,,98
,VCAP2,p99,,VCAP2,,,,,,,,,,99
,VCAP1,p100,,VCAP1,,,,,,,,,,100
,,,,,,,,,,,,,,
,Peripheral,Clock register,Clock mask (defaults to name),Irq number,Irq number,Irq number,,,,,,,,
Peripheral,EWM,SIM->SCGC4,,,,,,,,,,,,
Peripheral,MCG,SIM->SCGC4,,,,,,,,,,,,
Peripheral,OSC,SIM->SCGC4,,,,,,,,,,,,
Peripheral,I2C0,SIM->SCGC4,,,,,,,,,,,,
Peripheral,I2C1,SIM->SCGC4,,,,,,,,,,,,
Peripheral,UART0,SIM->SCGC4,,,,,,,,,,,,
Peripheral,UART1,SIM->SCGC4,,,,,,,,,,,,
Peripheral,UART2,SIM->SCGC4,,,,,,,,,,,,
Peripheral,UART3,SIM->SCGC4,,,,,,,,,,,,
Peripheral,VREF,SIM->SCGC4,,,,,,,,,,,,
Peripheral,CMP0,SIM->SCGC4,,,,,,,,,,,,
Peripheral,CMP1,SIM->SCGC4,,,,,,,,,,,,
Peripheral,SPI0,SIM->SCGC4,,,,,,,,,,,,
Peripheral,SPI1,SIM->SCGC4,,,,,,,,,,,,
,,,,,,,,,,,,,,
Peripheral,SLCD,SIM->SCGC5,,,,,,,,,,,,
Peripheral,PORTA,SIM->SCGC5,,,,,,,,,,,,
