TargetDeviceFamily,CortexM4,,,,,,,,,,,,,,,,
TargetDeviceSubFamily,MK22F12810,mk,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Device,MK22FN128VDC10,K22P121M100SF9RM,BGA_121,,,,,,,,,,,,,,
Device,MK22FN128VLL10,K22P121M100SF9RM,LQFP_100,,,,,,,,,,,,,,
Device,MK22FN128VMP10,K22P121M100SF9RM,BGA_64,,,,,,,,,,,,,,
Device,MK22FN128VLH10,K22P121M100SF9RM,LQFP_64,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Key,Pin,pkg BGA_121,pkg LQFP_100,pkg LQFP_64,pkg BGA_64,Reset,Default,ALT0,ALT1,ALT2,ALT3,ALT4,ALT5,ALT6,ALT7,EzPort,Seq
Pin,TEMP_SENSOR,Internal,Internal,Internal,Internal,ADC0_SE26/ADC1_SE26,,,,,,,,,,,
Pin,BANDGAP,Internal,Internal,Internal,Internal,ADC0_SE27/ADC1_SE27/CMP0_IN6/CMP1_IN6,,,,,,,,,,,
Pin,CMP_DAC,Internal,,,,CMP0_IN7/CMP1_IN7,,,,,,,,,,,
Pin,PTE0,E4,p1,p1,A1,ADC1_SE4a,,ADC1_SE4a,PTE0/CLKOUT32K,SPI1_PCS1,UART1_TX,,,I2C1_SDA,RTC_CLKOUT,,0
Pin,PTE1,E3,p2,p2,B1,ADC1_SE5a,,ADC1_SE5a,PTE1/LLWU_P0,SPI1_SOUT,UART1_RX,,,I2C1_SCL,SPI1_SIN,,1
Pin,PTE2,E2,p3,*,*,ADC1_SE6a,,ADC1_SE6a,PTE2/LLWU_P1,SPI1_SCK,UART1_CTS_b,,,,,,2
Pin,PTE3,F4,p4,*,*,ADC1_SE7a,,ADC1_SE7a,PTE3,SPI1_SIN,UART1_RTS_b,,,,SPI1_SOUT,,3
Pin,PTE4,H7,p5,*,*,Disabled,,,PTE4/LLWU_P2,SPI1_PCS0,LPUART0_TX,,,,,,4
Pin,PTE5,G4,p6,*,*,Disabled,,,PTE5,SPI1_PCS2,LPUART0_RX,,,,,,5
Pin,PTE6,F3,p7,*,*,Disabled,,,PTE6,SPI1_PCS3,LPUART0_CTS_b,I2S0_MCLK,,,USB_SOF_OUT,,6
,VDD,E6,p8,p3,C5,VDD,,,,,,,,,,,7
,VSS,G7,p9,p4,C4,VSS,,,,,,,,,,,8
,VSS,L6,*,*,*,VSS,,,,,,,,,,,9
,USB0_DP,F1,p10,p5,E1,USB0_DP,,,,,,,,,,,10
,USB0_DM,F2,p11,p6,D1,USB0_DM,,,,,,,,,,,11
,USBVDD,G1,p12,p7,E2,USBVDD,,,,,,,,,,,12
,NC,G2,p13,p8,D2,NC,,,,,,,,,,,13
Pin,ADC0_DP1,H1,p14,*,*,ADC0_DP1,,,,,,,,,,,14
Pin,ADC0_DM1,H2,p15,*,*,ADC0_DM1,,,,,,,,,,,15
Pin,ADC1_DP1,J1,p16,*,*,ADC1_DP1/ADC0_DP2,,,,,,,,,,,16
Pin,ADC1_DM1,J2,p17,*,*,ADC1_DM1/ADC0_DM2,,,,,,,,,,,17
Pin,ADC0_DP0,K1,p18,p9,G1,ADC0_DP0/ADC1_DP3,,,,,,,,,,,18
Pin,ADC0_DM0,K2,p19,p10,F1,ADC0_DM0/ADC1_DM3,,,,,,,,,,,19
Pin,ADC1_DP0,L1,p20,p11,G2,ADC1_DP0/ADC0_DP3,,,,,,,,,,,20
Pin,ADC1_DM0,L2,p21,p12,F2,ADC1_DM0/ADC0_DM3,,,,,,,,,,,21
,VDDA,F5,p22,p13,F4,VDDA,,,,,,,,,,,22
,VREFH,G5,p23,p14,G4,VREFH,,,,,,,,,,,23
,VREFL,G6,p24,p15,G3,VREFL,,,,,,,,,,,24
,VSSA,F6,p25,p16,F3,VSSA,,,,,,,,,,,25
Pin,VREF_OUT,L3,p26,p17,H1,VREF_OUT/CMP1_IN5/CMP0_IN5/ADC1_SE18,,,,,,,,,,,26
Pin,DAC0_OUT,K5,p27,p18,H2,DAC0_OUT/CMP1_IN3/ADC0_SE23,,,,,,,,,,,27
Pin,CMP0_IN4,K4,*,*,*,CMP0_IN4/ADC1_SE23,,,,,,,,,,,28
Pin,XTAL32,L4,p28,p19,H3,XTAL32,,,,,,,,,,,29
Pin,EXTAL32,L5,p29,p20,H4,EXTAL32,,,,,,,,,,,30
,VBAT,K6,p30,p21,H5,VBAT,,,,,,,,,,,31
Pin,PTE24,H5,p31,*,*,ADC0_SE17,,ADC0_SE17,PTE24,,,,I2C0_SCL,EWM_OUT_b,,,32
Pin,PTE25,J5,p32,*,*,ADC0_SE18,,ADC0_SE18,PTE25,,,,I2C0_SDA,EWM_IN,,,33
Pin,PTE26,H6,p33,*,*,Disabled,,,PTE26/CLKOUT32K,,,,,RTC_CLKOUT,USB_CLKIN,,34
Pin,PTA0,J6,p34,p22,D3,JTAG_TCLK/SWD_CLK/EZP_CLK,,,PTA0,UART0_CTS_b,FTM0_CH5,,,,JTAG_TCLK/SWD_CLK/EZP_CLK,EZP_CLK,35
Pin,PTA1,H8,p35,p23,D4,JTAG_TDI/EZP_DI,,,PTA1,UART0_RX,FTM0_CH6,,,,JTAG_TDI/EZP_DI,EZP_DI,36
Pin,PTA2,J7,p36,p24,E5,JTAG_TDO/TRACE_SWO/EZP_DO,,,PTA2,UART0_TX,FTM0_CH7,,,,JTAG_TDO/TRACE_SWO/EZP_DO,EZP_DO,37
Pin,PTA3,H9,p37,p25,D5,JTAG_TMS/SWD_DIO,,,PTA3,UART0_RTS_b,FTM0_CH0,,,,JTAG_TMS/SWD_DIO,,38
Pin,PTA4,J8,p38,p26,G5,NMI_b/EZP_CS_b,,,PTA4/LLWU_P3,,FTM0_CH1,,,,NMI_b/EZP_CS_b,EZP_CS_b,39
Pin,PTA5,K7,p39,p27,F5,Disabled,,,PTA5,USB_CLKIN,FTM0_CH2,,,I2S0_TX_BCLK,JTAG_TRST_b,,40
,VDD,E5,p40,*,*,VDD,,,,,,,,,,,41
,VSS,G3,p41,*,*,VSS,,,,,,,,,,,42
Pin,PTA12,K8,p42,p28,H6,Disabled,,,PTA12,,FTM1_CH0,,,I2S0_TXD0,FTM1_QD_PHA,,43
Pin,PTA13,L8,p43,p29,G6,Disabled,,,PTA13/LLWU_P4,,FTM1_CH1,,,I2S0_TX_FS,FTM1_QD_PHB,,44
Pin,PTA14,K9,p44,*,*,Disabled,,,PTA14,SPI0_PCS0,UART0_TX,,,I2S0_RX_BCLK,,,45
Pin,PTA15,L9,p45,*,*,Disabled,,,PTA15,SPI0_SCK,UART0_RX,,,I2S0_RXD0,,,46
Pin,PTA16,J10,p46,*,*,Disabled,,,PTA16,SPI0_SOUT,UART0_CTS_b,,,I2S0_RX_FS,,,47
Pin,PTA17,H10,p47,*,*,ADC1_SE17,,ADC1_SE17,PTA17,SPI0_SIN,UART0_RTS_b,,,I2S0_MCLK,,,48
,VDD,L10,p48,p30,G7,VDD,,,,,,,,,,,49
,VSS,K10,p49,p31,H7,VSS,,,,,,,,,,,50
Pin,PTA18,L11,p50,p32,H8,EXTAL0,,EXTAL0,PTA18,,FTM0_FLT2,FTM_CLKIN0,,,,,51
Pin,PTA19,K11,p51,p33,G8,XTAL0,,XTAL0,PTA19,,FTM1_FLT0,FTM_CLKIN1,,LPTMR0_ALT1,,,52
Pin,RESET_b,J11,p52,p34,F8,RESET_b,,,,,,,,,,,53
Pin,PTB0,G11,p53,p35,F7,ADC0_SE8/ADC1_SE8,,ADC0_SE8/ADC1_SE8,PTB0/LLWU_P5,I2C0_SCL,FTM1_CH0,,,FTM1_QD_PHA,,,54
Pin,PTB1,G10,p54,p36,F6,ADC0_SE9/ADC1_SE9,,ADC0_SE9/ADC1_SE9,PTB1,I2C0_SDA,FTM1_CH1,,,FTM1_QD_PHB,,,55
Pin,PTB2,G9,p55,p37,E7,ADC0_SE12,,ADC0_SE12,PTB2,I2C0_SCL,UART0_RTS_b,,,FTM0_FLT3,,,56
Pin,PTB3,G8,p56,p38,E8,ADC0_SE13,,ADC0_SE13,PTB3,I2C0_SDA,UART0_CTS_b,,,FTM0_FLT0,,,57
Pin,PTB8,D11,*,*,*,Disabled,,,PTB8,,LPUART0_RTS_b,,,,,,58
Pin,PTB9,E10,p57,*,*,Disabled,,,PTB9,SPI1_PCS1,LPUART0_CTS_b,,,,,,59
Pin,PTB10,D10,p58,*,*,ADC1_SE14,,ADC1_SE14,PTB10,SPI1_PCS0,LPUART0_RX,,,FTM0_FLT1,,,60
Pin,PTB11,C10,p59,*,*,ADC1_SE15,,ADC1_SE15,PTB11,SPI1_SCK,LPUART0_TX,,,FTM0_FLT2,,,61
,VSS,,p60,*,*,VSS,,,,,,,,,,,62
,VDD,,p61,*,*,VDD,,,,,,,,,,,63
Pin,PTB16,B10,p62,p39,E6,Disabled,,,PTB16,SPI1_SOUT,UART0_RX,FTM_CLKIN0,,EWM_IN,,,64
Pin,PTB17,E9,p63,p40,D7,Disabled,,,PTB17,SPI1_SIN,UART0_TX,FTM_CLKIN1,,EWM_OUT_b,,,65
Pin,PTB18,D9,p64,p41,D6,Disabled,,,PTB18,,FTM2_CH0,I2S0_TX_BCLK,,FTM2_QD_PHA,,,66
Pin,PTB19,C9,p65,p42,C7,Disabled,,,PTB19,,FTM2_CH1,I2S0_TX_FS,,FTM2_QD_PHB,,,67
Pin,PTB20,F10,p66,*,*,Disabled,,,PTB20,,,,,CMP0_OUT,,,68
Pin,PTB21,F9,p67,*,*,Disabled,,,PTB21,,,,,CMP1_OUT,,,69
Pin,PTB22,F8,p68,*,*,Disabled,,,PTB22,,,,,,,,70
Pin,PTB23,E8,p69,*,*,Disabled,,,PTB23,,SPI0_PCS5,,,,,,71
Pin,PTC0,B9,p70,p43,D8,ADC0_SE14,,ADC0_SE14,PTC0,SPI0_PCS4,PDB0_EXTRG,USB_SOF_OUT,,,,,72
Pin,PTC1,D8,p71,p44,C6,ADC0_SE15,,ADC0_SE15,PTC1/LLWU_P6,SPI0_PCS3,UART1_RTS_b,FTM0_CH0,,I2S0_TXD0,LPUART0_RTS_b,,73
