Family,MK64F12,mk,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Device,MK64FX512VLL12,K64P144M120SF5RM,LQFP_100,,,,,,,,,,,,,,
Device,MK64FN1M0VLL12,K64P144M120SF5RM,LQFP_100,,,,,,,,,,,,,,
Device,MK64FX512VLQ12,K64P144M120SF5RM,LQFP_144,,,,,,,,,,,,,,
Device,MK64FN1M0VLQ12,K64P144M120SF5RM,LQFP_144,,,,,,,,,,,,,,
Device,MK64FX512VMD12,K64P144M120SF5RM,BGA_144,,,,,,,,,,,,,,
Device,MK64FN1M0VMD12,K64P144M120SF5RM,BGA_144,,,,,,,,,,,,,,
Device,MK64FX512VDC12,K64P144M120SF5RM,BGA_121,,,,,,,,,,,,,,
Device,MK64FN1M0VDC12,K64P144M120SF5RM,BGA_121,,,,,,,,,,,,,,
Device,FRDM_K64F,K64P144M120SF5RM,FRDM_K64F,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Key,Pin,Pkg FRDM_K64F,Pkg LQFP_144,Pkg LQFP_100,Pkg BGA_144,Pkg BGA_121,Reset,Default,ALT0,ALT1,ALT2,ALT3,ALT4,ALT5,ALT6,ALT7,EzPort
Pin,RTC_WAKEUP_B,*,*,*,L5,L7,RTC_WAKEUP_B,,,,,,,,,,
Pin,PTB12,*,*,*,*,B11,DISABLED,,,PTB12,UART3_RTS_b,FTM1_CH0,FTM0_CH4,,FTM1_QD_PHA,,
Pin,PTB13,*,*,*,*,C11,DISABLED,,,PTB13,UART3_CTS_b,FTM1_CH1,FTM0_CH5,,FTM1_QD_PHB,,
Pin,PTE0,SD_dat1,p1,p1,D3,E4,ADC1_SE4a,,ADC1_SE4a,PTE0,SPI1_PCS1,UART1_TX,SDHC0_D1,TRACE_CLKOUT,I2C1_SDA,RTC_CLKOUT,
Pin,PTE1/LLWU_P0,SD_dat0,p2,p2,D2,E3,ADC1_SE5a,,ADC1_SE5a,PTE1/LLWU_P0,SPI1_SOUT,UART1_RX,SDHC0_D0,TRACE_D3,I2C1_SCL,SPI1_SIN,
Pin,PTE2/LLWU_P1,SD_dclk,p3,p3,D1,E2,ADC0_DP2/ADC1_SE6a,,ADC0_DP2/ADC1_SE6a,PTE2/LLWU_P1,SPI1_SCK,UART1_CTS_b,SDHC0_DCLK,TRACE_D2,,,
