Family,MK66F18,mk,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Device,MK66FN2M0VMD18,K66P144M180SF5RMV2,BGA_144,,,,,,,,,,,,
Device,MK66FX1M0VMD18,K66P144M180SF5RMV2,BGA_144,,,,,,,,,,,,
Device,MK66FN2M0VLQ18,K66P144M180SF5RMV2,LQFP_144,,,,,,,,,,,,
Device,MK66FX1M0VLQ18,K66P144M180SF5RMV2,LQFP_144,,,,,,,,,,,,
Device,FRDM_K66F,K66P144M180SF5RMV2,FRDM_K66F,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Key,Pin,Pkg LQFP_144,Pkg FRDM_K66F,Pkg BGA_144,Reset,Default,ALT0,ALT1,ALT2,ALT3,ALT4,ALT5,ALT6,ALT7,EzPort
Pin,RTC_WAKEUP_B,*,*,L5,RTC_WAKEUP_B,,RTC_WAKEUP_B,,,,,,,,
Pin,PTE0,p1,,D3,ADC1_SE4a,,ADC1_SE4a,PTE0,SPI1_PCS1,UART1_TX,SDHC0_D1,TRACE_CLKOUT,I2C1_SDA,RTC_CLKOUT,
Pin,PTE1/LLWU_P0,p2,,D2,ADC1_SE5a,,ADC1_SE5a,PTE1/LLWU_P0,SPI1_SOUT,UART1_RX,SDHC0_D0,TRACE_D3,I2C1_SCL,SPI1_SIN,
Pin,PTE2/LLWU_P1,p3,,D1,ADC1_SE6a,,ADC1_SE6a,PTE2/LLWU_P1,SPI1_SCK,UART1_CTS_b,SDHC0_DCLK,TRACE_D2,,,
Pin,PTE3,p4,,E4,ADC1_SE7a,,ADC1_SE7a,PTE3,SPI1_SIN,UART1_RTS_b,SDHC0_CMD,TRACE_D1,,SPI1_SOUT,
Pin,VDD1,p5,,E5,VDD1,,,,,,,,,,
Pin,VSS1,p6,,H3,VSS1,,,,,,,,,,
Pin,PTE4/LLWU_P2,p7,,E3,DISABLED,,,PTE4/LLWU_P2,SPI1_PCS0,UART3_TX,SDHC0_D3,TRACE_D0,,,
Pin,PTE5,p8,,E2,DISABLED,,,PTE5,SPI1_PCS2,UART3_RX,SDHC0_D2,,FTM3_CH0,,
Pin,PTE6/LLWU_P16,p9,GREEN_LED,E1,DISABLED,,,PTE6/LLWU_P16,SPI1_PCS3,UART3_CTS_b,I2S0_MCLK,,FTM3_CH1,USB0_SOF_OUT,
Pin,PTE7,p10,D23,F4,DISABLED,,,PTE7,,UART3_RTS_b,I2S0_RXD0,,FTM3_CH2,,
Pin,PTE8,p11,D22,F3,DISABLED,,,PTE8,I2S0_RXD1,,I2S0_RX_FS,LPUART0_TX,FTM3_CH3,,
Pin,PTE9/LLWU_P17,p12,D20,F2,DISABLED,,,PTE9/LLWU_P17,I2S0_TXD1,,I2S0_RX_BCLK,LPUART0_RX,FTM3_CH4,,
Pin,PTE10/LLWU_P18,p13,,F1,DISABLED,,,PTE10/LLWU_P18,I2C3_SDA,,I2S0_TXD0,LPUART0_CTS_b,FTM3_CH5,USB1_ID,
Pin,PTE11,p14,D17,G4,DISABLED,,,PTE11,I2C3_SCL,,I2S0_TX_FS,LPUART0_RTS_b,FTM3_CH6,,
Pin,PTE12,p15,D16,G3,DISABLED,,,PTE12,,,I2S0_TX_BCLK,,FTM3_CH7,,
Pin,VDD2,p16,,E6,VDD2,,,,,,,,,,
Pin,VSS2a,p17,,F7,VSS2a,,,,,,,,,,
Pin,VSS2b,p18,,F6,VSS2b,,,,,,,,,,
Pin,USB0_DP,p19,,H1,USB0_DP,,,,,,,,,,
Pin,USB0_DM,p20,,H2,USB0_DM,,,,,,,,,,
Pin,VREG_OUT,p21,,G1,VREG_OUT,,,,,,,,,,
Pin,VREG_IN0,p22,,G2,VREG_IN0,,,,,,,,,,
Pin,VREG_IN1,p23,,J2,DISABLED,,,,,,,,,,
Pin,USB1_VSS,p24,,K2,DISABLED,,,,,,,,,,
Pin,USB1_DP,p25,,J1,DISABLED,,,,,,,,,,
Pin,USB1_DM,p26,,K1,DISABLED,,,,,,,,,,
Pin,USB1_VBUS,p27,,L1,DISABLED,,,,,,,,,,
Pin,ADC0_DM0/ADC1_DM3,p28,,L2,ADC0_DM0/ADC1_DM3,,,,,,,,,,
Pin,ADC1_DP0/ADC0_DP3,p29,,M1,ADC1_DP0/ADC0_DP3,,,,,,,,,,
Pin,ADC1_DM0/ADC0_DM3,p30,,M2,ADC1_DM0/ADC0_DM3,,,,,,,,,,
Pin,VDDA,p31,,H5,VDDA,,,,,,,,,,
Pin,VREFH,p32,,G5,VREFH,,,,,,,,,,
Pin,VREFL,p33,,G6,VREFL,,,,,,,,,,
Pin,VSSA,p34,,H6,VSSA,,,,,,,,,,
Pin,ADC1_SE16/CMP2_IN2/ADC0_SE22,p35,,K3,ADC1_SE16/CMP2_IN2/ADC0_SE22,,,,,,,,,,
Pin,ADC0_SE16/CMP1_IN2/ADC0_SE21,p36,,J3,ADC0_SE16/CMP1_IN2/ADC0_SE21,,,,,,,,,,
Pin,VREF_OUT/CMP1_IN5/CMP0_IN5/ADC1_SE18,p37,,M3,VREF_OUT/CMP1_IN5/CMP0_IN5/ADC1_SE18,,,,,,,,,,
Pin,DAC0_OUT/CMP1_IN3/ADC0_SE23,p38,,L3,DAC0_OUT/CMP1_IN3/ADC0_SE23,,,,,,,,,,
Pin,DAC1_OUT/CMP0_IN4/CMP2_IN3/ADC1_SE23,p39,,L4,DAC1_OUT/CMP0_IN4/CMP2_IN3/ADC1_SE23,,,,,,,,,,
Pin,XTAL32,p40,,M7,XTAL32,,,,,,,,,,
Pin,EXTAL32,p41,,M6,EXTAL32,,,,,,,,,,
Pin,VBAT,p42,,L6,VBAT,,,,,,,,,,
Pin,VDD3,p43,,*,VDD3,,,,,,,,,,
Pin,VSS3,p44,,*,VSS3,,,,,,,,,,
Pin,PTE24,p45,D30,M4,ADC0_SE17,,ADC0_SE17,PTE24,CAN1_TX,UART4_TX,,I2C0_SCL,EWM_OUT_b,,
Pin,PTE25/LLWU_P21,p46,D31,K5,ADC0_SE18,,ADC0_SE18,PTE25/LLWU_P21,CAN1_RX,UART4_RX,,I2C0_SDA,EWM_IN,,
Pin,PTE26,p47,,K4,DISABLED,,,PTE26,ENET_1588_CLKIN,UART4_CTS_b,,,RTC_CLKOUT,USB0_CLKIN,
Pin,PTE27,p48,,J4,DISABLED,,,PTE27,,UART4_RTS_b,,,,,
Pin,PTE28,p49,,H4,DISABLED,,,PTE28,,,,,,,
Pin,PTA0,p50,,J5,JTAG_TCLK/SWD_CLK,,TSI0_CH1,PTA0,UART0_CTS_b/UART0_COL_b,FTM0_CH5,,LPUART0_CTS_b,,JTAG_TCLK/SWD_CLK,EZP_CLK
Pin,PTA1,p51,,J6,JTAG_TDI,,TSI0_CH2,PTA1,UART0_RX,FTM0_CH6,I2C3_SDA,LPUART0_RX,,JTAG_TDI,EZP_DI
Pin,PTA2,p52,,K6,JTAG_TDO/TRACE_SWO,,TSI0_CH3,PTA2,UART0_TX,FTM0_CH7,I2C3_SCL,LPUART0_TX,,JTAG_TDO/TRACE_SWO,EZP_DO
Pin,PTA3,p53,,K7,JTAG_TMS/SWD_DIO,,TSI0_CH4,PTA3,UART0_RTS_b,FTM0_CH0,,LPUART0_RTS_b,,JTAG_TMS/SWD_DIO,
