TargetDeviceFamily,CortexM4,,,,,,,,,,,,,,,
TargetDeviceSubFamily,MK82F25615,mk,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Device,MK82FN256VDC15,K82P121M150SF5RM,XFBGA_121,,,,,,,,,,,,,
Device,MK82FN256VLL15,K82P121M150SF5RM,LQFP_100,,,,,,,,,,,,,
Device,MK82FN256VLQ15,K82P121M150SF5RM,LQFP_144,,,,,,,,,,,,,
Device,MK82FN256CAx15,K82P121M150SF5RM,WLCSP_121,,,,,,,,,,,,,
Device,FRDM_K82F,K82P121M150SF5RM,FRDM_K82F,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Key,Pin,Pkg LQFP_144,Pkg LQFP_100,Pkg XFBGA_121,Pkg WLCSP_121,Pkg FRDM_K82F,Reset,ALT0,ALT1,ALT2,ALT3,ALT4,ALT5,ALT6,ALT7,QSPI_SIP_MODE
Pin,TEMP_SENSOR,Internal,Internal,Internal,Internal,Internal,ADC0_SE26,,,,,,,,,
Pin,BANDGAP,Internal,Internal,Internal,Internal,Internal,ADC0_SE27/CMP0_IN6/CMP1_IN6,,,,,,,,,
Pin,CMP_DAC,Internal,Internal,Internal,Internal,Internal,CMP0_IN7/CMP1_IN7,,,,,,,,,
Pin,PIT_CH0,Internal,Internal,Internal,Internal,Internal,PIT_CH0,,,,,,,,,
Pin,PIT_CH1,Internal,Internal,Internal,Internal,Internal,PIT_CH1,,,,,,,,,
Pin,PIT_CH2,Internal,Internal,Internal,Internal,Internal,PIT_CH2,,,,,,,,,
Pin,PIT_CH3,Internal,Internal,Internal,Internal,Internal,PIT_CH3,,,,,,,,,
Pin,ADC0_SE16,*,*,*,G8,*,ADC0_SE16,,,,,,,,,
Pin,PTE0,p1,p1,B1,C10,QSPIA_DATA3,DISABLED,,PTE0,SPI1_PCS1,LPUART1_TX,SDHC0_D1,QSPI0A_DATA3,I2C1_SDA,RTC_CLKOUT,
Pin,PTE1/LLWU_P0,p2,p2,C2,D9,QSPIA_SCLK,DISABLED,,PTE1/LLWU_P0,SPI1_SCK,LPUART1_RX,SDHC0_D0,QSPI0A_SCLK,I2C1_SCL,SPI1_SIN,
