Family,MKL27Z644,mkl,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Device,MKL27Z32VFM4,KL27P64M48SF2RM,QFN_32,,,,,,,,,,,,,,,,,,,
Device,MKL27Z64VFM4,KL27P64M48SF2RM,QFN_32,,,,,,,,,,,,,,,,,,,
Device,MKL27Z32VFT4,KL27P64M48SF2RM,QFN_48,,,,,,,,,,,,,,,,,,,
Device,MKL27Z64VFT4,KL27P64M48SF2RM,QFN_48,,,,,,,,,,,,,,,,,,,
Device,MKL27Z32VLH4,KL27P64M48SF2RM,LQFP_64,,,,,,,,,,,,,,,,,,,
Device,MKL27Z64VLH4,KL27P64M48SF2RM,LQFP_64,,,,,,,,,,,,,,,,,,,
Device,MKL27Z32VMP4,KL27P64M48SF2RM,BGA_64,,,,,,,,,,,,,,,,,,,
Device,MKL27Z32VMP4,KL27P64M48SF2RM,BGA_64,,,,,,,,,,,,,,,,,,,
Device,FRDM_KL27Z,KL27P64M48SF2RM,FRDM_KL27Z,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Key,Pin,Pkg FRDM_KL27Z,Pkg LQFP_64,Pkg QFN_32,Pkg QFN_48,Pkg BGA_64,Reset,Default,ALT0,ALT1,ALT2,ALT3,ALT4,ALT5,ALT6,ALT7,Seq,64 LQFP,32 QFN,48 QFN,64 BGA,36 BGA
Pin,PTE17,*,*,*,*,*,ADC0_DM1/ADC0_SE5a,,ADC0_DM1/ADC0_SE5a,GPIOE_17,SPI0_SCK,UART2_RX,TPM_CLKIN1,LPTMR0_ALT3,FXIO0_D1,,1,*,*,*,*,C1
Pin,PTE18,*,*,*,*,*,ADC0_DP2/ADC0_SE2,,ADC0_DP2/ADC0_SE2,GPIOE_18,SPI0_MOSI,,I2C0_SDA,SPI0_MISO,FXIO0_D2,,2,*,*,*,*,D1
Pin,PTE0,,p1,p1,*,A1,DISABLED,,,GPIOE_0/CLKOUT32K,SPI1_MISO,LPUART1_TX,RTC_CLKOUT,CMP0_OUT,I2C1_SDA,,4,1,1,*,A1,A1
Pin,PTE1,,p2,*,*,B1,DISABLED,,,GPIOE_1,SPI1_MOSI,LPUART1_RX,,SPI1_MISO,I2C1_SCL,,5,2,*,*,B1,*
Pin,VDD1,,p3,*,p1,*,VDD1,,,,,,,,,,6,3,*,1,*,*
Pin,VSS1,,p4,p2,p2,C4,VSS1,,,,,,,,,,7,4,2,2,C4,C4
Pin,USB0_DP,,p5,p3,p3,E1,USB0_DP,,,,,,,,,,8,5,3,3,E1,B1
Pin,USB0_DM,,p6,p4,p4,D1,USB0_DM,,,,,,,,,,9,6,4,4,D1,D2
Pin,USB_VDD,,p7,p5,p5,E2,USB_VDD,,,,,,,,,,10,7,5,5,E2,C3
Pin,PTE16,A0,p8,p6,p6,D2,ADC0_DP1/ADC0_SE1,ADC0_DP1/ADC0_SE1,ADC0_DP1/ADC0_SE1,GPIOE_16,SPI0_PCS0,UART2_TX,TPM_CLKIN0,,FXIO0_D0,,11,8,6,6,D2,C2
