Family,MKL43Z4,mkl,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Device,MKL43Z128VLH4,KL43P64M48SF6RM,LQFP_64,,,,,,,,,,,,,,,
Device,MKL43Z256VLH4,KL43P64M48SF6RM,LQFP_64,,,,,,,,,,,,,,,
Device,MKL43Z128VMP4,KL43P64M48SF6RM,BGA_64,,,,,,,,,,,,,,,
Device,MKL43Z256VMP4,KL43P64M48SF6RM,BGA_64,,,,,,,,,,,,,,,
Device,FRDM_KL43Z4,KL43P64M48SF6RM,FRDM,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Key,Pin,Pkg LQFP_64,Pkg BGA_64,Pkg FRDM,Reset,Default,ALT0,ALT1,ALT2,ALT3,ALT4,ALT5,ALT6,ALT7,EzPort,64_BGA,64_LQFP,Seq#
Pin,PTE0,p1,A1,D14,LCD_P48,I2C1_SDA,LCD_P48,GPIOE_0/CLKOUT32K,SPI1_MISO,LPUART1_TX,RTC_CLKOUT,CMP0_OUT,I2C1_SDA,LCD_P48,,A1,1,1
Pin,PTE1,p2,B1,D15,LCD_P49,I2C1_SCL,LCD_P49,GPIOE_1,SPI1_MOSI,LPUART1_RX,,SPI1_MISO,I2C1_SCL,LCD_P49,,B1,2,2
Pin,VDD1,p3,*,,VDD1,,,,,,,,,,,*,3,3
Pin,VSS1,p4,C4,,VSS1,,,,,,,,,,,C4,4,4
Pin,USB0_DP,p5,E1,USB0_DP,USB0_DP,,,,,,,,,,,E1,5,5
Pin,USB0_DM,p6,D1,USB0_DM,USB0_DM,,,,,,,,,,,D1,6,6
Pin,VOUT33,p7,E2,VOUT33,VOUT33,,,,,,,,,,,E2,7,7
Pin,VREGIN,p8,D2,VREGIN,VREGIN,,,,,,,,,,,D2,8,8
Pin,PTE20,p9,G1,,LCD_P59/ADC0_DP0/ADC0_SE0,,LCD_P59/ADC0_DP0/ADC0_SE0,GPIOE_20,,TPM1_CH0,LPUART0_TX,,FXIO0_D4,LCD_P59,,G1,9,9
Pin,PTE21,p10,F1,,LCD_P60/ADC0_DM0/ADC0_SE4a,,LCD_P60/ADC0_DM0/ADC0_SE4a,GPIOE_21,,TPM1_CH1,LPUART0_RX,,FXIO0_D5,LCD_P60,,F1,10,10
Pin,PTE22,p11,G2,LIGHT_SENS,ADC0_DP3/ADC0_SE3,,ADC0_DP3/ADC0_SE3,GPIOE_22,,TPM2_CH0,UART2_TX,,FXIO0_D6,,,G2,11,11
Pin,PTE23,p12,F2,,ADC0_DM3/ADC0_SE7a,,ADC0_DM3/ADC0_SE7a,GPIOE_23,,TPM2_CH1,UART2_RX,,FXIO0_D7,,,F2,12,12
Pin,VDDA,p13,F4,VDDA,VDDA,,,,,,,,,,,F4,13,13
Pin,VREFH,p14,G4,VREFH/VREF0_OUT,VREFH/VREF0_OUT,,,,,,,,,,,G4,14,14
Pin,VREFL,p15,G3,VREFL,VREFL,,,,,,,,,,,G3,15,15
Pin,VSSA,p16,F3,VSSA,VSSA,,,,,,,,,,,F3,16,16
Pin,PTE29,p17,H1,D6,CMP0_IN5/ADC0_SE4b,TPM0_CH2,CMP0_IN5/ADC0_SE4b,GPIOE_29,,TPM0_CH2,TPM_CLKIN0,,,,,H1,17,17
Pin,PTE30,p18,H2,D7,DAC0_OUT/ADC0_SE23/CMP0_IN4,GPIOE_30,DAC0_OUT/ADC0_SE23/CMP0_IN4,GPIOE_30,,TPM0_CH3,TPM_CLKIN1,LPUART1_TX,LPTMR0_ALT1,,,H2,18,18
Pin,PTE31,p19,H3,LED_RED,DISABLED,GPIOE_31,DISABLED,GPIOE_31,,TPM0_CH4,,,,,,H3,19,19
Pin,PTE24,p20,H4,ONBOARD_SCL,DISABLED,I2C0_SCL,DISABLED,GPIOE_24,,TPM0_CH0,,I2C0_SCL,,,,H4,20,20
Pin,PTE25,p21,H5,ONBOARD_SDA,DISABLED,I2C0_SDA,DISABLED,GPIOE_25,,TPM0_CH1,,I2C0_SDA,,,,H5,21,21
Pin,PTA0,p22,D3,,SWD_CLK,,DISABLED,GPIOA_0,,TPM0_CH5,,,,SWD_CLK,,D3,22,22
Pin,PTA1,p23,D4,D0,DISABLED,LPUART0_RX,DISABLED,GPIOA_1,LPUART0_RX,TPM2_CH0,,,,,,D4,23,23
Pin,PTA2,p24,E5,D1,DISABLED,LPUART0_TX,DISABLED,GPIOA_2,LPUART0_TX,TPM2_CH1,,,,,,E5,24,24
Pin,PTA3,p25,D5,,SWD_DIO,,DISABLED,GPIOA_3,I2C1_SCL,TPM0_CH0,,,,SWD_DIO,,D5,25,25
Pin,PTA4,p26,G5,D4,NMI_b,TPM0_CH1,DISABLED,GPIOA_4,I2C1_SDA,TPM0_CH1,,,,NMI_b,,G5,26,26
Pin,PTA5,p27,F5,D5,DISABLED,GPIOA_5,DISABLED,GPIOA_5,USB_CLKIN,TPM0_CH2,,,I2S0_TX_BCLK,,,F5,27,27
Pin,PTA12,p28,H6,D3,DISABLED,TPM1_CH0,DISABLED,GPIOA_12,,TPM1_CH0,,,I2S0_TXD0,,,H6,28,28
Pin,PTA13,p29,G6,D8,DISABLED,TPM1_CH1,DISABLED,GPIOA_13,,TPM1_CH1,,,I2S0_TX_FS,,,G6,29,29
Pin,VDD2,p30,G7,,VDD2,,,,,,,,,,,G7,30,30
Pin,VSS2,p31,H7,,VSS2,,,,,,,,,,,H7,31,31
Pin,PTA18,p32,H8,,EXTAL0,,EXTAL0,GPIOA_18,,LPUART1_RX,TPM_CLKIN0,,,,,H8,32,32
Pin,PTA19,p33,G8,,XTAL0,,XTAL0,GPIOA_19,,LPUART1_TX,TPM_CLKIN1,,LPTMR0_ALT1,,,G8,33,33
Pin,PTA20,p34,F8,,RESET_b,,RESET_b,GPIOA_20,,,,,,RESET_b,,F8,34,34
Pin,PTB0,p35,F7,A0,LCD_P0/ADC0_SE8,LCD_P0/ADC0_SE8,LCD_P0/ADC0_SE8,GPIOB_0/LLWU_P5,I2C0_SCL,TPM1_CH0,,,,LCD_P0,,F7,35,35
Pin,PTB1,p36,F6,A1,LCD_P1/ADC0_SE9,LCD_P1/ADC0_SE9,LCD_P1/ADC0_SE9,GPIOB_1,I2C0_SDA,TPM1_CH1,,,,LCD_P1,,F6,36,36
Pin,PTB2,p37,E7,A2,LCD_P2/ADC0_SE12,LCD_P2/ADC0_SE12,LCD_P2/ADC0_SE12,GPIOB_2,I2C0_SCL,TPM2_CH0,,,,LCD_P2,,E7,37,37
Pin,PTB3,p38,E8,A3,LCD_P3/ADC0_SE13,LCD_P3/ADC0_SE13,LCD_P3/ADC0_SE13,GPIOB_3,I2C0_SDA,TPM2_CH1,,,,LCD_P3,,E8,38,38
Pin,PTB16,p39,E6,,LCD_P12,,LCD_P12,GPIOB_16,SPI1_MOSI,LPUART0_RX,TPM_CLKIN0,SPI1_MISO,,LCD_P12,,E6,39,39
Pin,PTB17,p40,D7,,LCD_P13,,LCD_P13,GPIOB_17,SPI1_MISO,LPUART0_TX,TPM_CLKIN1,SPI1_MOSI,,LCD_P13,,D7,40,40
Pin,PTB18,p41,D6,,LCD_P14,,LCD_P14,GPIOB_18,,TPM2_CH0,I2S0_TX_BCLK,,,LCD_P14,,D6,41,41
Pin,PTB19,p42,C7,,LCD_P15,,LCD_P15,GPIOB_19,,TPM2_CH1,I2S0_TX_FS,,,LCD_P15,,C7,42,42
Pin,PTC0,p43,D8,,LCD_P20/ADC0_SE14,,LCD_P20/ADC0_SE14,GPIOC_0,,EXTRG_IN,audioUSB_SOF_OUT,CMP0_OUT,I2S0_TXD0,LCD_P20,,D8,43,43
Pin,PTC1,p44,C6,A5,LCD_P21/ADC0_SE15,LCD_P21/ADC0_SE15,LCD_P21/ADC0_SE15,GPIOC_1/LLWU_P6/RTC_CLKIN,I2C1_SCL,,TPM0_CH0,,I2S0_TXD0,LCD_P21,,C6,44,44
Pin,PTC2,p45,B7,A4,LCD_P22/ADC0_SE11,LCD_P22/ADC0_SE11,LCD_P22/ADC0_SE11,GPIOC_2,I2C1_SDA,,TPM0_CH1,,I2S0_TX_FS,LCD_P22,,B7,45,45
Pin,PTC3,p46,C8,,LCD_P23,,LCD_P23,GPIOC_3/LLWU_P7,SPI1_SCK,LPUART1_RX,TPM0_CH2,CLKOUT,I2S0_TX_BCLK,LCD_P23,,C8,46,46
Pin,VSS3,p47,E3,,VSS3,,,,,,,,,,,E3,47,47
Pin,VDD3,*,E4,,VDD3,,,,,,,,,,,E4,*,48
Pin,VLL3,p48,C5,,VLL3,,,,,,,,,,,C5,48,49
Pin,VLL2,p49,A6,,VLL2,,VLL2,GPIOC_20,,,,,,LCD_P4,,A6,49,50
Pin,VLL1,p50,B5,,VLL1,,VLL1,GPIOC_21,,,,,,LCD_P5,,B5,50,51
Pin,VCAP2,p51,B4,,VCAP2,,VCAP2,GPIOC_22,,,,,,LCD_P6,,B4,51,52
Pin,VCAP1,p52,A5,,VCAP1,,VCAP1,GPIOC_23,,,,,,LCD_P39,,A5,52,53
Pin,PTC4,p53,B8,,LCD_P24,,LCD_P24,GPIOC_4/LLWU_P8,SPI0_SS,LPUART1_TX,TPM0_CH3,I2S0_MCLK,,LCD_P24,,B8,53,54
Pin,PTC5,p54,A8,ACCEL_INT1/MAG_INT,LCD_P25,,LCD_P25,GPIOC_5/LLWU_P9,SPI0_SCK,LPTMR0_ALT2,I2S0_RXD0,,CMP0_OUT,LCD_P25,,A8,54,55
Pin,PTC6,p55,A7,,LCD_P26/CMP0_IN0,,LCD_P26/CMP0_IN0,GPIOC_6/LLWU_P10,SPI0_MOSI,EXTRG_IN,I2S0_RX_BCLK,SPI0_MISO,I2S0_MCLK,LCD_P26,,A7,55,56
Pin,PTC7,p56,B6,,LCD_P27/CMP0_IN1,,LCD_P27/CMP0_IN1,GPIOC_7,SPI0_MISO,audioUSB_SOF_OUT,I2S0_RX_FS,SPI0_MOSI,,LCD_P27,,B6,56,57
Pin,PTD0,p57,C3,,LCD_P40,,LCD_P40,GPIOD_0,SPI0_SS,,TPM0_CH0,,FXIO0_D0,LCD_P40,,C3,57,58
Pin,PTD1,p58,A4,ACCEL_INT2,LCD_P41/ADC0_SE5b,,LCD_P41/ADC0_SE5b,GPIOD_1,SPI0_SCK,,TPM0_CH1,,FXIO0_D1,LCD_P41,,A4,58,59
Pin,PTD2,p59,C2,D9,LCD_P42,GPIOD_2,LCD_P42,GPIOD_2,SPI0_MOSI,UART2_RX,TPM0_CH2,SPI0_MISO,FXIO0_D2,LCD_P42,,C2,59,60
Pin,PTD3,p60,B3,D2,LCD_P43,TPM0_CH3,LCD_P43,GPIOD_3,SPI0_MISO,UART2_TX,TPM0_CH3,SPI0_MOSI,FXIO0_D3,LCD_P43,,B3,60,61
Pin,PTD4,p61,A3,D10,LCD_P44,TPM0_CH4,LCD_P44,GPIOD_4/LLWU_P14,SPI1_SS,UART2_RX,TPM0_CH4,,FXIO0_D4,LCD_P44,,A3,61,62
Pin,PTD5,p62,C1,D13/LED_GREEN,LCD_P45/ADC0_SE6b,TPM0_CH5,LCD_P45/ADC0_SE6b,GPIOD_5,SPI1_SCK,UART2_TX,TPM0_CH5,,FXIO0_D5,LCD_P45,,C1,62,63
Pin,PTD6,p63,B2,D11,LCD_P46/ADC0_SE7b,,LCD_P46/ADC0_SE7b,GPIOD_6/LLWU_P15,SPI1_MOSI,LPUART0_RX,,SPI1_MISO,FXIO0_D6,LCD_P46,,B2,63,64
Pin,PTD7,p64,A2,D12,LCD_P47,,LCD_P47,GPIOD_7,SPI1_MISO,LPUART0_TX,,SPI1_MOSI,FXIO0_D6,LCD_P47,,A2,64,65
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Peripheral,Clock register,Clock mask (defaults to name),Clock source,Irq number,Irq number,Irq number,,,,,,,,,,,
Peripheral,MCG,,,,,,,,,,,,,,,,,
Peripheral,I2C0,SIM->SCGC4,,,I2C0_IRQn,,,,,,,,,,,,,
Peripheral,I2C1,SIM->SCGC4,,,I2C1_IRQn,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Peripheral,UART2,SIM->SCGC4,,,UART2_FLEXIO_IRQn,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Peripheral,USB0,SIM->SCGC4,SIM_SCGC4_USBOTG_MASK,,USB0_IRQn,,,,,,,,,,,,,
Peripheral,CMP0,SIM->SCGC4,,,CMP0_IRQn,,,,,,,,,,,,,
Peripheral,VREF0,SIM->SCGC4,SIM_SCGC4_VREF_MASK,,,,,,,,,,,,,,,
Peripheral,SPI0,SIM->SCGC4,,,SPI0_IRQn,,,,,,,,,,,,,
Peripheral,SPI1,SIM->SCGC4,,,SPI1_IRQn,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Peripheral,LPTMR0,SIM->SCGC5,SIM_SCGC5_LPTMR_MASK,,LPTMR0_IRQn,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Peripheral,PORTA,SIM->SCGC5,,,PORTA_IRQn,,,,,,,,,,,,,
Peripheral,PORTB,SIM->SCGC5,,,,,,,,,,,,,,,,
Peripheral,PORTC,SIM->SCGC5,,,PORTCD_IRQn,,,,,,,,,,,,,
Peripheral,PORTD,SIM->SCGC5,,,PORTCD_IRQn,,,,,,,,,,,,,
Peripheral,PORTE,SIM->SCGC5,,,,,,,,,,,,,,,,
Peripheral,SLCD,SIM->SCGC5,,,LCD_IRQn,,,,,,,,,,,,,
Peripheral,LPUART0,SIM->SCGC5,,,LPUART0_IRQn,,,,,,,,,,,,,
Peripheral,LPUART1,SIM->SCGC5,,,LPUART1_IRQn,,,,,,,,,,,,,
Peripheral,FLEXIO,SIM->SCGC5,,,UART2_FLEXIO_IRQn,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
