Family,MKL46Z4,mkl,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Device,MKL46Z128VLH4,KL46P121M48SF4RM,LQFP_64,,,,,,,,,,,,,
Device,MKL46Z256VLH4,KL46P121M48SF4RM,LQFP_64,,,,,,,,,,,,,
Device,MKL46Z256VMP4,KL46P121M48SF4RM,BGA_64,,,,,,,,,,,,,
Device,MKL46Z128VLL4,KL46P121M48SF4RM,LQFP_100,,,,,,,,,,,,,
Device,MKL46Z256VLL4,KL46P121M48SF4RM,LQFP_100,,,,,,,,,,,,,
Device,MKL46Z128VMC4,KL46P121M48SF4RM,BGA_121,,,,,,,,,,,,,
Device,MKL46Z256VMC4,KL46P121M48SF4RM,BGA_121,,,,,,,,,,,,,
Device,FRDM_KL46Z4,KL46P121M48SF4RM,FRDM,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Key,Pin,Pkg BGA_121,Pkg LQFP_100,Pkg BGA_64,Pkg LQFP_64,Pkg FRDM,Reset,Default,ALT0,ALT1,ALT2,ALT3,ALT4,ALT5,ALT6,ALT7
Pin,PTE0,E4,p1,pA1,p1,D14,LCD_P48,,LCD_P48,PTE0,SPI1_MISO,UART1_TX,RTC_CLKOUT,CMP0_OUT,I2C1_SDA,LCD_P48
Pin,PTE1,E3,p2,pB1,p2,D15,LCD_P49,,LCD_P49,PTE1,SPI1_MOSI,UART1_RX,,SPI1_MISO,I2C1_SCL,LCD_P49
Pin,PTE2,E2,p3,*,*,,LCD_P50,,LCD_P50,PTE2,SPI1_SCK,,,,,LCD_P50
Pin,PTE3,F4,p4,*,*,,LCD_P51,,LCD_P51,PTE3,SPI1_MISO,,,SPI1_MOSI,,LCD_P51
Pin,PTE4,H7,p5,*,*,,LCD_P52,,LCD_P52,PTE4,SPI1_PCS0,,,,,LCD_P52
Pin,PTE5,G4,p6,*,*,,LCD_P53,,LCD_P53,PTE5,,,,,,LCD_P53
Pin,PTE6,F3,p7,*,*,,LCD_P54,,LCD_P54,PTE6,,,I2S0_MCLK,audioUSB_SOF_OUT,,LCD_P54
Pin,VDD1,E6,p8,*,p3,,VDD1,,,,,,,,,
Pin,VSS1,G7,p9,pC4,p4,,VSS1,,,,,,,,,
Pin,VSS1a,L6,*,*,*,*,VSS1a,,,,,,,,,
Pin,USB0_DP,F1,p10,pE1,p5,,USB0_DP,,,,,,,,,
Pin,USB0_DM,F2,p11,pD1,p6,,USB0_DM,,,,,,,,,
Pin,VOUT33,G1,p12,pE2,p7,,VOUT33,,,,,,,,,
Pin,VREGIN,G2,p13,pD2,p8,,VREGIN,,,,,,,,,
Pin,PTE16,H1,p14,*,*,,LCD_P55/ADC0_DP1/ADC0_SE1,,LCD_P55/ADC0_DP1/ADC0_SE1,PTE16,SPI0_PCS0,UART2_TX,TPM_CLKIN0,,,LCD_P55
